src_Book_313,src_Philosopher_4452
src_Measurable-Trend_1258,src_Commodity_2279
src_Village_2566,src_Vehicle_1416
src_Geographical-Region_4787,src_Astronaut_154
src_Head-of-Government_2555,src_Non-Military-Conflict_3757
src_Cleric_1368,src_Representative-Institution_3005
src_Building_4643,src_Building_1762
src_Party_996,src_Pamphlet_3985
src_Jurist_2027,src_Ecclesiarch_1750
src_Public-Oration_661,src_Entertainer_324
src_Discoverer_4482,src_Masonic-Lodge_4451
src_Population-Movement_4515,src_Food_3493
src_Abstract-Notion_1042,src_Dynasty_1253
src_Queen_338,src_Sultan_2252
src_Country_2868,src_Religious-Community_673
src_Political-Organisation_1475,src_Cultural-Organisation_381
src_FuzzyTemporalInterval_424,src_Artistic-Style_3016
src_Natural-Object_2351,src_Trades-Union_971
src_Discoverer_426,src_Scandal_3363
src_Abstract-Notion_3204,src_Technical-Scientific-Advance_1406
src_Journal_341,src_Astronaut_350
src_Emperor_2324,src_Treaty_2071
src_Pope_2532,src_Scientific-Instrument_2695
src_Commodity_1389,src_Actor_1561
src_Author_307,src_Criminal_1877
src_Management-Organisation_604,src_Scandal_3664
src_Pollution_4026,src_Scientific-Instrument_3003
src_Artistic-Movement_608,src_Person_2258
src_Publisher_1866,src_Cathedral_3444
src_Publisher_4869,src_Time-Dependent_2810
src_Trades-Union_1373,src_Leader_3222
src_Magnate_4949,src_Building_4018
src_Composer_4929,src_Person-Role_73
src_Liturgical-Object_2576,src_Sculptor_622
src_Religious-Ideology_4605,src_TemporalInterval_1839
src_University_557,src_Conceptual-Object_749
src_Publisher_4459,src_Liturgical-Object_4059
src_Musician_4558,src_International-Organisation_697
src_Social-Group_4340,src_Theologian_836
src_Educational-Organisation_888,src_Village_2227
src_Person-Role_3918,src_Fictional-Event_3800
src_Event_2312,src_Person-Role_3258
src_Sculptor_4913,src_Dynasty_4403
src_Minister_3734,src_Political-Region_707
src_Emperor_4436,src_FuzzyTemporalInterval_224
src_Economic-Symbol_4277,src_Dynasty_951
src_Conceptual-Object_4805,src_Monastery_4948
src_Symbol_3096,src_Life-Event_897
src_Vehicle_3998,src_Sportsman_455
src_Scandal_742,src_Economic-Process_3319
src_Ideology_2632,src_Scientist_3587
src_Scientist_2447,src_Election_2311
src_Vehicle_4867,src_Uprising_2141
src_Armament_2485,src_Location-Part-Relation_3017
src_Social-Group_475,src_King_3673
src_Military-Person_4979,src_Time_4856
src_Dramaturge_2821,src_Trial_49
src_Work-of-Art_4169,src_Cultural-Agreement_3138
src_King_1687,src_Engineer_4204
src_Intra-State-Group_149,src_Relic_1389
src_Meeting_99,src_Dramaturge_1648
src_Engineer_3522,src_Food_4738
src_Water_547,src_Intra-State-Group_4826
src_Artistic-Movement_5,src_Other-Religious-Person_572
src_Object_54,src_Meeting_265
src_Political-Region_4266,src_Legislation_1015
src_Food_2329,src_Painter_2209
src_Cultural-Organisation_235,src_Abstract-Notion_2739
src_Field-of-Knowledge_1823,src_Armament_2316
src_Country_4537,src_TemporalInterval_951
src_Theologian_2833,src_Religious-Symbol_3072
src_Engineer_1504,src_Work-of-Art_1664
src_Secular-Ideology_2526,src_Artefact_3613
src_Train_1447,src_University_705
src_Criminal_3724,src_Flavour_725
src_Treaty_3653,src_Clothing_3219
src_Economic-Organisation_1740,src_Pollution_4989
src_Economist_4917,src_Political-Organisation_1020
src_Language_2257,src_Trade-Association_1976
src_Governmental-Organisation_4082,src_Artist_1457
src_Relic_2569,src_Painter_3496
src_Leader_2987,src_Relic_230
src_Armament_4498,src_Book_3622
src_Structure_4975,src_Sculpture_1169
src_Role_1166,src_Prince_1263
src_Head-of-Government_3570,src_Painter_2140
src_Religious-Symbol_2031,src_Scandal_447
src_Pamphlet_2382,src_Period-in-Office_58
src_King_4347,src_Head-of-Government_1974
src_Representative-Institution_2746,src_Legislation_4655
src_Abstract-Notion_4312,src_Animal_224
src_Board_1742,src_Ship_602
src_League_3184,src_Criminal_1454
src_Musician_1948,src_Abstract-Notion_3885
src_Secular-Leader_3902,src_Intellectual-Movement_823
src_Field-of-Knowledge_1592,src_Management-Organisation_776
src_Painting_4583,src_Building_1980
src_Pope_2825,src_Economic-Enterprise_91
src_International-Alliance_690,src_Board_1349
src_Geographical-Discovery_3213,src_Life-Event_3882
src_Intellectual-Construct_391,src_Intellectual-Movement_3214
src_Natural-Object_1680,src_Crime_1624
src_Art-Form_4731,src_Cathedral_966
src_Period-in-Office_717,src_Legislation_2695
src_Sculptor_1018,src_Stereotype-Group_2444
src_Book_4643,src_Ship_3004
