src_Geographer_2202,src_FuzzyTemporalInterval_2317
src_Time_1594,src_Educational-Organisation_1415
src_Architect_3948,src_International-Organisation_965
src_Military-Unit_3147,src_Organisation_4043
src_Ship_3783,src_Philosopher_1804
src_Board_935,src_Author_4277
src_Secular-Ideology_3406,src_Idea_3674
src_Saint_1724,src_Engineer_2943
src_Symbol_972,src_City_1181
src_Management-Organisation_1662,src_Philanthropist_463
src_Ecclesiarch_3491,src_Structure_4032
src_Artistic-Movement_350,src_Painting_354
src_Publisher_2698,src_National-Symbol_1077
src_Intra-State-Group_2902,src_Social-Stratum_3587
src_Role_1982,src_Diplomat_2532
src_Military-Person_4243,src_Piece-of-Music_1403
src_Religious-Order_1602,src_Symbol_2620
src_Disease_2329,src_Work-of-Art_4400
src_Legislation_766,src_International-Alliance_3175
src_Trade-Association_1250,src_Location-Part-Relation_2328
src_Political-Organisation_1563,src_Psychologist_4984
src_Trial_1119,src_Symbol_4980
src_Secular-Leader_4196,src_Representative-Institution_3765
src_Commodity_2604,src_Person-Role_4384
src_Trial_4870,src_Period_470
src_Country_872,src_University_1487
src_Philosopher_480,src_Criminal_1710
src_Composer_2234,src_Location_184
src_War_4995,src_Category_4511
src_International-Alliance_4837,src_Illness_4830
src_Newspaper_3507,src_Head-of-State_96
src_Idea_2308,src_Church-Reformer_4641
src_Trade-Association_2676,src_Crime_4296
src_Dramaturge_622,src_Pope_3695
src_Work-of-Art_4734,src_Geographical-Region_1145
src_Field-of-Knowledge_1554,src_Ethnic-Group_2631
src_TemporalInterval_4721,src_Time-Dependent_4719
src_Category_2084,src_Religious-Community_2050
src_Natural-Object_3385,src_Astronaut_4209
src_Liturgical-Object_4118,src_Queen_1315
src_Country_3714,src_Intra-State-Group_1356
src_Pastime_3991,src_Art-Form_1845
src_Measurable-Trend_2924,src_Commodity_573
src_Other-Religious-Leader_3927,src_Flavour_1713
src_Crime_2824,src_Philanthropist_1381
src_Legislation_2752,src_International-Organisation_3647
src_Vehicle_3464,src_Engineer_2332
src_Liturgical-Object_4158,src_Disaster_1465
src_Religious-Community_2746,src_Location-Part-Relation_3440
src_Trade-Association_4727,src_Governmental-Organisation_2485
src_Military-Person_966,src_Population-Movement_2388
src_Book_4284,src_Engineer_4257
src_Sculpture_2763,src_Conceptual-Object_1636
src_Flavour_1014,src_Economic-Enterprise_1967
src_Head-of-Government_405,src_Artist_1005
src_Military-Unit_4609,src_Journal_600
src_Technical-Scientific-Advance_4353,src_City_3087
src_Professor_2171,src_Economic-Symbol_4563
src_Scandal_3423,src_Dramaturge_4556
src_Liturgical-Object_3165,src_Head-of-Government_2284
src_Creator_2935,src_Animal_4416
src_Natural-Object_112,src_Trade-Association_4015
src_Symbol_1748,src_Time_488
src_Monastery_3305,src_Fictional-Event_2948
src_Trades-Unionist_4467,src_Crime_1029
src_Flavour_4462,src_Intellectual-Construct_4602
src_Secular-Movement_4956,src_Queen_2848
src_Film-Maker_1798,src_Treaty_550
src_Saint_415,src_International-Alliance_1773
src_Military-Organisation_1077,src_Public-Oration_714
src_Religious-Order_4464,src_Period-in-Office_690
src_Work-of-Art_4349,src_Environment_2609
src_TemporalInterval_3132,src_Church_4910
src_Trades-Unionist_4972,src_Astronaut_1799
src_Trade-Association_489,src_Trial_164
src_Role_1524,src_Geographer_4402
src_Artistic-Movement_361,src_Sculpture_383
src_Meeting_2990,src_Cleric_2285
src_Meeting_975,src_Politician_3454
src_Conductor_1262,src_Armament_3634
src_Trial_4647,src_Newspaper_3687
src_Abbey_4986,src_Location_1085
src_Animal_770,src_Trades-Unionist_3404
src_Head-of-Government_3850,src_Criminal_1125
src_Abstract-Notion_3295,src_Clothing_3419
src_Astronaut_2465,src_Population-Movement_2220
src_Astronaut_1339,src_Measurable-Trend_1831
src_Creator_346,src_Journal_324
src_Language_698,src_Sculptor_1954
src_Book_4195,src_Time_1521
src_Trades-Union_3410,src_King_253
src_Other-Religious-Person_4317,src_Object_3891
src_Conductor_3591,src_Diplomat_19
src_Clerical-Leader_3857,src_City_4666
src_Church-Reformer_2377,src_Queen_4771
src_Theologian_1452,src_Sultan_1170
src_Abbey_3159,src_Ship_901
src_Author_3259,src_Representative-Institution_4135
src_Social-Group_135,src_Newspaper_1753
src_Management-Organisation_3879,src_Artistic-Movement_551
src_International-Organisation_3538,src_Field-of-Knowledge_541
src_Relic_1514,src_Representative-Institution_1764
src_War_669,src_Geographical-Feature_2030
src_Piece-of-Music_2192,src_Actor_2073
src_Ethnic-Group_4482,src_Scientist_2835
src_Language_3902,src_Stereotype-Group_906
src_Scientist_987,src_Measurable-Trend_1430
src_Language_454,src_Location_446
src_Astronaut_4431,src_Artistic-Movement_1572
src_Engineer_753,src_Geographical-Feature_1150
src_Time-Dependent-Relation_3962,src_Magnate_1794
src_Board_1866,src_Cathedral_4021
src_Disease_2225,src_Pollution_4504
src_Trades-Unionist_4057,src_Geographical-Region_2791
src_Sculpture_1507,src_Prince_1271
src_Cultural-Agreement_685,src_Social-Group_2940
src_Board_1473,src_Saint_1852
src_Foreign-Minister_4104,src_Military-Unit_1244
src_Population-Movement_3629,src_Event_1644
src_Period-in-Office_1935,src_Author_2465
src_Educational-Organisation_742,src_Geographical-Discovery_472
src_Masonic-Lodge_2431,src_Ritual_2946
src_Geographical-Discovery_2810,src_Pamphlet_2368
src_Educational-Organisation_521,src_Ecclesiarch_324
src_Monastery_827,src_Cleric_2961
src_Representative-Institution_2366,src_Life-Event_4817
src_Political-Organisation_4178,src_Religious-Symbol_873
src_Trades-Union_3098,src_Geographical-Discovery_4682
src_Monastery_2974,src_Uprising_2583
src_Representative-Institution_2308,src_League_2230
src_Battle_3694,src_Queen_4717
src_Cleric_3308,src_Time-Dependent-Relation_563
src_Disaster_2130,src_Economic-Process_1192
src_Object_2956,src_Secular-Leader_1697
src_Jurist_2053,src_Artistic-Style_3028
src_Intra-State-Group_272,src_Structure_180
src_Religious-Movement_213,src_Masonic-Lodge_1114
src_Non-Military-Conflict_589,src_Religious-Leader_3968
src_Representative-Institution_2937,src_Art-Form_323
src_Structure_756,src_Journal_4532
src_Emperor_4490,src_Natural-Object_2147
src_Disease_912,src_Dancer_1642
src_Governmental-Organisation_1898,src_VicodiOI_4281
src_Economic-Process_4579,src_Religious-Symbol_4218
src_Business-Leader_1143,src_International-Organisation_2675
src_Church-Reformer_117,src_Foreign-Minister_4100
src_Time-Dependent-Relation_4984,src_Religious-Organisation_3980
src_Trades-Unionist_4117,src_Religious-Movement_1621
src_Ship_910,src_Organisation_992
src_Artist_21,src_Geographer_806
src_Cleric_1164,src_Location_2964
src_Ship_1481,src_Theologian_1546
src_Emperor_4272,src_Dramaturge_4680
src_Geographical-Feature_4136,src_Period_717
src_Cleric_3527,src_Governmental-Organisation_1678
src_Party_3361,src_Public-Oration_3472
src_Relic_540,src_Politician_3002
src_Religious-Leader_1335,src_Cultural-Organisation_273
src_Sportsman_17,src_Physician_1281
src_Ethnic-Group_2677,src_Disaster_3245
src_Intellectual-Construct_2339,src_Time_2500
src_Geographical-Region_2682,src_Painter_4400
src_Religious-Leader_1706,src_Cultural-Organisation_3308
src_Other-Religious-Person_3214,src_Professor_273
src_Intellectual-Movement_4342,src_Natural-Object_429
src_Environment_2082,src_Military-Unit_3593
src_Educational-Organisation_1339,src_Minister_485
src_Other-Religious-Leader_92,src_Cultural-Agreement_1098
src_Magnate_1061,src_Emperor_3723
src_National-Symbol_1512,src_Field-of-Knowledge_4697
src_Crime_3860,src_Geographer_3938
src_Geographical-Region_2303,src_Symbol_61
src_Painting_3721,src_Political-Organisation_2373
src_Meeting_3179,src_Trades-Unionist_2312
src_Religious-Community_502,src_Emperor_4578
src_Ecclesiarch_1872,src_Religious-Practice_995
src_Field-of-Knowledge_794,src_Governmental-Organisation_385
src_Criminal_261,src_Political-Region_3347
src_Religious-Order_1474,src_Emperor_2228
src_Church_1464,src_Journal_2992
src_Location-Part-Relation_2032,src_Military-Organisation_1246
src_Public-Oration_3085,src_Category_3634
src_Publisher_2664,src_Economic-Symbol_3838
src_Individual_1696,src_Head-of-Government_4276
src_Field-of-Knowledge_4293,src_Geographical-Discovery_3427
src_Religious-Symbol_2197,src_Treaty_2835
src_Political-Symbol_4040,src_Military-Unit_4982
src_Commodity_1390,src_Economic-Process_3910
src_Queen_401,src_Physician_4669
src_Film-Maker_1205,src_Art-Form_3908
src_Field-of-Knowledge_1579,src_War_508
src_Time_2917,src_Water_827
src_Stereotype-Group_2396,src_Scandal_123
src_Monastery_93,src_Meeting_1965
src_Head-of-Government_2226,src_Event_3437
src_Religious-Movement_2260,src_War_2714
src_Cathedral_1014,src_League_2604
src_Other-Religious-Person_3853,src_Environment_3698
src_Minister_4060,src_Artistic-Movement_664
src_Meeting_84,src_Dramaturge_625
src_Armament_1737,src_Sportsman_503
src_Philosopher_1799,src_Philanthropist_4596
src_Trial_1779,src_Fictional-Person_4459
src_Fictional-Event_14,src_Philosopher_1264
src_Political-Symbol_1076,src_Environment_745
src_Period_4083,src_Economic-Process_4632
src_Building_543,src_Trial_3254
src_Saint_2594,src_Work-of-Art_1117
src_Country_801,src_Abbey_3626
src_Geographical-Discovery_2890,src_Composer_941
src_Economic-Organisation_400,src_Water_3766
src_Secular-Ideology_4073,src_Scientist_662
src_Other-Religious-Leader_2351,src_Religious-Community_4671
src_Meeting_1651,src_Intra-State-Group_1481
src_Ship_480,src_Pastime_1250
src_Sculptor_3003,src_Masonic-Lodge_2497
src_Conductor_3544,src_Art-Form_1368
src_Trade-Association_1703,src_Religious-Community_411
src_Jurist_2390,src_Election_4049
src_Structure_2640,src_Jurist_1950
src_FuzzyTemporalInterval_2843,src_Other-Religious-Leader_4722
src_Church_3191,src_Emperor_482
src_Environment_2770,src_Role_4033
src_Religious-Practice_2353,src_Social-Group_2594
src_FuzzyTemporalInterval_4457,src_Scandal_845
src_City_4700,src_Food_2284
src_Religious-Community_38,src_Sultan_2544
src_Leader_4455,src_Journal_437
src_Role_3123,src_Ritual_3534
src_Flavour_1725,src_Election_1663
src_Management-Organisation_2498,src_Head-of-State_1886
src_Population-Movement_3938,src_Queen_484
src_VicodiOI_265,src_Sculpture_2453
src_Liturgical-Object_4627,src_Politician_1434
src_Trial_3743,src_Artistic-Movement_2031
src_Military-Person_426,src_Religious-Movement_3846
src_Queen_4668,src_Political-Symbol_640
src_Treaty_3128,src_League_2283
src_Election_3116,src_Publisher_372
src_Art-Form_833,src_Sportsman_3346
src_Church_4540,src_Clerical-Leader_3309
src_Ship_3459,src_Scientific-Instrument_1
src_Psychologist_2787,src_Journalist_4923
src_Church_1710,src_Other-Religious-Leader_4902
src_Event_3506,src_Philosopher_2434
src_Flavour_1932,src_Pollution_2523
src_Dynasty_1284,src_Magnate_4529
src_Person-Role_4162,src_Monastery_3001
src_Illness_710,src_Economic-Process_2375
src_Disease_2453,src_Geographical-Feature_4790
src_Intellectual-Movement_4976,src_Politician_782
src_Monastery_1190,src_Other-Religious-Person_4761
src_Object_2097,src_Country_2858
src_Person_1390,src_Representative-Institution_3226
src_Pollution_2694,src_Ritual_4824
src_Battle_1490,src_University_1093
src_War_3395,src_Board_3569
src_Vehicle_2679,src_Village_2637
src_Functionary_1935,src_Engineer_1526
src_Pope_3422,src_Clothing_4802
src_Pope_173,src_Art-Form_4443
src_Saint_4217,src_Piece-of-Music_2117
src_Intellectual-Construct_421,src_Sculptor_2398
src_Abstract-Notion_1347,src_Fictional-Person_841
src_Pastime_2726,src_Emperor_550
src_Armament_4548,src_Religious-Order_4346
src_Clerical-Leader_2327,src_FuzzyTemporalInterval_2758
src_Secular-Ideology_2850,src_Pastime_1567
src_Country_2049,src_Trial_2777
src_Astronaut_1657,src_Work-of-Art_4088
src_Creator_2094,src_Journalist_1069
src_Geographer_1132,src_Inventor_3258
src_Newspaper_1997,src_Religious-Symbol_3266
src_Monastery_640,src_Environment_2128
src_Painting_3835,src_Intellectual-Construct_898
src_Political-Region_4543,src_Scandal_2881
src_Measurable-Trend_3306,src_Psychologist_3224
src_Conceptual-Object_1058,src_Head-of-State_3479
src_Pope_2701,src_Head-of-Government_1459
src_Event_2078,src_Event_875
src_Idea_4234,src_Technical-Scientific-Advance_2002
src_Population-Movement_2824,src_Person_892
src_University_4134,src_Pope_2926
src_Architect_1976,src_Book_3359
src_Church_2588,src_Artistic-Style_2821
src_Artistic-Movement_2993,src_Other-Religious-Person_2189
src_Magnate_4046,src_City_1747
src_Physician_3423,src_Leader_2825
src_Pope_2921,src_Church-Reformer_4936
src_Film-Maker_1439,src_Cleric_3161
src_Newspaper_2813,src_National-Symbol_3679
src_Saint_858,src_Astronaut_3915
src_Foreign-Minister_4122,src_Religious-Order_3482
src_Dynasty_1073,src_Fictional-Person_3559
src_Painting_2420,src_Pastime_3785
src_Artistic-Movement_3642,src_Film-Maker_544
src_Sculpture_2592,src_Conductor_98
src_Engineer_3241,src_Food_2844
src_Building_1324,src_Engineer_4815
src_Social-Stratum_943,src_Actor_2417
src_Time-Dependent-Relation_2658,src_Intellectual-Construct_925
src_Ethnic-Group_2662,src_Trades-Unionist_192
src_Religious-Organisation_2109,src_Relic_3145
src_Jurist_4651,src_Intra-State-Group_2532
src_Leader_2337,src_Religious-Organisation_2714
src_Piece-of-Music_2354,src_Idea_4801
src_Painter_3071,src_Religious-Ideology_3228
src_Disaster_3893,src_Crime_2007
src_Building_2766,src_Author_3953
src_National-Symbol_1341,src_Pamphlet_253
src_Journalist_3051,src_Artistic-Movement_1279
src_Location-Part-Relation_2014,src_Theologian_4328
src_Leader_1641,src_Criminal_1830
src_Dynasty_3631,src_Religious-Ideology_1091
src_TemporalInterval_3289,src_Population-Movement_3825
src_Meeting_63,src_Sculptor_135
src_Food_4619,src_Liturgical-Object_3106
src_Election_2153,src_Geographical-Feature_2298
src_Economist_3802,src_Badge_4855
src_Writing_3648,src_Author_1193
src_Religious-Symbol_4388,src_Time-Dependent-Relation_4617
src_Clerical-Leader_779,src_Governmental-Organisation_3432
src_Other-Religious-Leader_2711,src_Person-Role_4865
