src_Non-Military-Conflict_2618,src_Measurable-Trend_215
src_War_4187,src_Object_1146
src_Treaty_2662,src_Role_3382
src_Period-in-Office_3487,src_Queen_4171
src_Musician_1538,src_Queen_1164
src_Time-Dependent-Relation_4592,src_Foreign-Minister_64
src_Theologian_4051,src_International-Alliance_3958
src_Disaster_4089,src_League_692
src_Painter_1733,src_Flavour_1756
src_University_488,src_Person_1772
src_Stereotype-Group_2095,src_Movement_1416
src_Secular-Movement_550,src_Artist_3006
src_Time-Dependent_4466,src_Engineer_214
src_Role_3108,src_Social-Group_1900
src_Armament_1050,src_Language_908
src_Fictional-Person_4135,src_Movement_1312
src_Prince_939,src_League_4753
src_Astronaut_525,src_Ship_1999
src_Clothing_3380,src_Organisation_2647
src_Symbol_4189,src_University_4560
src_Relic_2887,src_Individual_3978
src_Cultural-Organisation_82,src_Prince_628
src_Writing_886,src_Dynasty_320
src_War_3560,src_Language_4069
src_Party_1535,src_Social-Group_3000
src_Relic_4861,src_Discoverer_2785
src_Theologian_4841,src_Period-in-Office_269
src_Settlement_1481,src_Movement_1853
src_Architect_3188,src_Badge_1042
src_Population-Movement_1238,src_Sportsman_1764
src_Settlement_4797,src_Entertainer_1662
src_Disaster_3184,src_Food_2319
src_Management-Organisation_3599,src_Ideology_2623
src_Economic-Organisation_2709,src_Magnate_2739
src_Artist_4626,src_Religious-Practice_1464
src_Discoverer_1877,src_Secular-Ideology_3504
src_Conceptual-Object_2167,src_Religious-Ideology_1404
src_Time_2922,src_Language_3983
src_Pollution_1209,src_Physician_4930
src_Economist_3369,src_Legislation_921
src_Foreign-Minister_1973,src_Natural-Object_481
src_Building_3967,src_Ship_4412
src_Engineer_3858,src_Secular-Movement_1563
src_Liturgical-Object_1605,src_Head-of-Government_102
src_Sultan_3370,src_Church_3259
src_Social-Group_220,src_Geographer_4929
src_Legislation_1438,src_Actor_1368
src_Intellectual-Movement_3577,src_Religious-Community_2064
src_Secular-Ideology_998,src_Scientist_3106
src_International-Alliance_2385,src_Economic-Process_2182
src_Other-Religious-Leader_3854,src_Vehicle_2122
src_Liturgical-Object_1534,src_Actor_2579
src_Religious-Practice_2553,src_Legislation_2051
src_Battle_615,src_Military-Organisation_3072
src_Pamphlet_4138,src_Illness_357
src_Trial_4403,src_Piece-of-Music_895
src_Creator_2221,src_Cleric_718
src_Conductor_3831,src_Abbey_4134
src_University_1906,src_Abstract-Notion_3905
src_Cleric_194,src_Election_1970
src_Monastery_2162,src_Physician_2401
src_Military-Organisation_4216,src_Dramaturge_2278
src_Village_4503,src_Religious-Symbol_3884
src_Secular-Movement_692,src_Church_1971
src_Time-Dependent_976,src_Sculpture_4473
src_Queen_2571,src_Time-Dependent_3783
src_Life-Event_4906,src_Functionary_3772
src_Discoverer_679,src_Village_240
src_Politician_4103,src_Technical-Scientific-Advance_4583
src_League_4658,src_Military-Person_1624
src_Political-Symbol_3715,src_Intellectual-Construct_424
src_Inventor_4430,src_Legislation_1864
src_Representative-Institution_809,src_VicodiOI_272
src_Business-Leader_1851,src_Journal_3486
src_Country_4522,src_FuzzyTemporalInterval_535
src_Idea_3105,src_Governmental-Organisation_4249
src_TemporalInterval_3997,src_Secular-Movement_779
src_Musician_1569,src_Stereotype-Group_2385
src_Book_2600,src_Political-Region_3703
src_Sportsman_4663,src_Time-Dependent_2586
src_Role_2725,src_Political-Region_2022
src_Life-Event_4106,src_Writing_4055
src_Life-Event_341,src_Role_255
src_Artistic-Style_2426,src_Philanthropist_2264
src_Composer_4920,src_Pamphlet_4391
src_Flavour_65,src_Geographical-Region_1206
src_Queen_1066,src_Dancer_2621
src_Disease_4354,src_Economic-Symbol_3060
src_Secular-Ideology_928,src_Leader_1590
src_Religious-Order_605,src_Symbol_4701
src_Water_2272,src_Illness_375
src_Jurist_3992,src_City_1730
src_Geographical-Discovery_2084,src_Time-Dependent-Relation_617
src_Military-Person_862,src_Economist_1803
src_League_4871,src_Location-Part-Relation_652
src_Flavour_748,src_Diplomat_1282
src_National-Symbol_1077,src_Political-Region_790
src_Social-Stratum_4374,src_Art-Form_2837
src_Theologian_911,src_Ethnic-Group_3427
src_Artistic-Style_390,src_Jurist_3635
src_Newspaper_2293,src_Person_2660
src_Economist_2421,src_Foreign-Minister_2843
src_Painter_857,src_Governmental-Organisation_1417
src_Emperor_4440,src_Military-Person_1010
src_Architect_586,src_Church_3826
src_Jurist_4723,src_City_963
src_Trade-Association_2574,src_Governmental-Organisation_1335
src_Scientific-Instrument_4681,src_TemporalInterval_22
src_Fictional-Person_3238,src_Structure_2565
src_Political-Symbol_3297,src_Geographical-Feature_1659
src_Train_2365,src_Philosopher_1833
src_Geographical-Region_4650,src_Masonic-Lodge_1838
src_Journalist_2649,src_Time-Dependent_4476
src_Abstract-Notion_1528,src_Uprising_2594
src_Pamphlet_4184,src_Monastery_4695
src_Badge_3979,src_Time-Dependent-Relation_2160
src_Animal_148,src_Period_2566
src_Art-Form_2879,src_Social-Group_895
src_Educational-Organisation_1223,src_Non-Military-Conflict_1559
src_Trades-Union_3742,src_Economist_979
src_King_151,src_Political-Organisation_913
src_Emperor_575,src_Party_687
src_Armament_1474,src_Country_1839
src_Settlement_906,src_Village_500
src_Cleric_387,src_Pollution_4709
src_Geographer_3681,src_Economist_170
src_Flavour_315,src_Artistic-Movement_2199
src_Musician_2409,src_Public-Oration_2204
src_Period_4656,src_Film-Maker_4030
src_Dancer_2326,src_Religious-Community_2806
src_Geographical-Feature_4616,src_Economic-Organisation_3284
src_Journal_2426,src_Person-Role_3944
src_Party_3366,src_University_2868
src_Treaty_2437,src_Trade-Association_2849
src_Person_2860,src_Pollution_2797
src_Field-of-Knowledge_4102,src_King_1894
src_Emperor_2975,src_Dancer_4214
src_Movement_3616,src_Time-Dependent_138
src_Cathedral_1886,src_League_2313
src_Organisation_861,src_Time-Dependent-Relation_1301
src_Clerical-Leader_4099,src_League_1561
src_Religious-Movement_1927,src_Architect_3360
src_Philanthropist_1735,src_Painter_621
src_Population-Movement_1609,src_Idea_4957
src_Dynasty_3825,src_Conceptual-Object_3933
src_Discoverer_4946,src_Object_2440
src_Train_1168,src_Military-Unit_4593
src_Building_3657,src_Inventor_3010
src_Clothing_2596,src_War_1879
src_Settlement_3361,src_Religious-Order_3674
src_Economic-Organisation_4968,src_Monastery_2708
src_Animal_454,src_City_4204
src_Ship_3410,src_Piece-of-Music_2415
src_Battle_1246,src_Ethnic-Group_3588
src_Intra-State-Group_4897,src_Church-Reformer_2578
src_Publisher_4649,src_Treaty_1393
src_Inventor_4206,src_Disease_3546
src_Symbol_4513,src_Philosopher_4396
src_Battle_4235,src_Technical-Scientific-Advance_3636
src_Functionary_2682,src_Author_1896
src_Person-Role_2038,src_Secular-Ideology_1136
src_Fictional-Person_4994,src_Politician_2521
src_Cultural-Agreement_2846,src_Fictional-Person_288
src_Trade-Association_4746,src_Religious-Order_3063
src_Inventor_3500,src_Painter_2879
src_Social-Group_690,src_Settlement_1490
src_Vehicle_2923,src_Building_1363
src_Secular-Ideology_4352,src_Public-Oration_2981
src_Geographical-Discovery_4665,src_Philanthropist_3700
src_Intellectual-Movement_3337,src_Period_4516
src_International-Alliance_1587,src_Conductor_3821
src_Liturgical-Object_3174,src_Ship_2447
src_Artefact_4100,src_Physician_3216
src_Building_1865,src_Sportsman_3839
src_Economic-Enterprise_3678,src_Actor_4692
src_Person-Role_4644,src_Crime_4022
src_Dynasty_3822,src_Secular-Movement_3696
src_Actor_3384,src_Secular-Leader_425
src_Other-Religious-Leader_1796,src_Liturgical-Object_2126
src_Vehicle_1251,src_Political-Symbol_3935
src_Pastime_1104,src_Legislation_1667
src_Head-of-Government_1832,src_Time_4688
src_Pope_102,src_Sportsman_3803
src_Political-Symbol_1099,src_Fictional-Person_4360
src_Monastery_938,src_Ideology_3423
src_Election_2858,src_Cultural-Agreement_3131
src_Board_4404,src_Military-Person_4160
src_Time-Dependent-Relation_4012,src_Saint_2440
src_Painter_941,src_Piece-of-Music_2914
src_Idea_4341,src_Badge_3505
src_Political-Region_520,src_Intellectual-Movement_2012
src_Pope_3632,src_Country_2959
src_Natural-Object_1113,src_Person_1949
