src_Location-Part-Relation_2721,src_Journalist_4145
src_Ecclesiarch_1756,src_Cultural-Organisation_2976
src_Minister_1882,src_Ideology_4012
src_Magnate_752,src_Religious-Organisation_3033
src_Magnate_4261,src_Location_796
src_Landmark_1017,src_Field-of-Knowledge_238
src_Fictional-Person_4500,src_Politician_559
src_Idea_539,src_Dramaturge_1168
src_Scandal_1637,src_Relic_1212
src_International-Organisation_4044,src_Composer_3684
src_Queen_2606,src_Cathedral_4918
src_Governmental-Organisation_555,src_Intra-State-Group_2465
src_Architect_681,src_Political-Symbol_3600
src_Religious-Order_1708,src_Geographer_384
src_Measurable-Trend_1097,src_Religious-Community_1192
src_Professor_4833,src_Illness_1428
src_Relic_323,src_University_4310
src_Philanthropist_3730,src_Painter_3434
src_Building_1278,src_Train_3
src_Saint_3510,src_Religious-Community_4151
src_Philanthropist_59,src_Abbey_3973
src_Religious-Ideology_4423,src_Publisher_2694
src_Leader_2772,src_Environment_3047
src_War_2410,src_Professor_2113
src_Trial_1808,src_Cleric_4443
src_Journalist_3316,src_Field-of-Knowledge_3133
src_Category_2557,src_Work-of-Art_2609
src_Geographical-Discovery_1813,src_National-Symbol_1064
src_Organisation_365,src_Technical-Scientific-Advance_4607
src_Food_4480,src_Economic-Organisation_4268
src_Armament_1185,src_Structure_2232
src_Ship_41,src_Professor_3131
src_Military-Person_2704,src_Economic-Organisation_4991
src_Religious-Organisation_4197,src_King_1130
src_Saint_168,src_Saint_307
src_Work-of-Art_2069,src_Economic-Organisation_1960
src_Saint_3139,src_Inventor_3626
src_Functionary_562,src_Field-of-Knowledge_470
src_Sultan_532,src_Religious-Ideology_3240
src_Armament_1858,src_Uprising_438
src_Sultan_871,src_Trades-Unionist_870
src_Religious-Leader_425,src_FuzzyTemporalInterval_1453
src_Fictional-Person_1691,src_Abbey_605
src_Journalist_2984,src_Entertainer_1026
src_Magnate_1979,src_Symbol_4770
src_Prince_3138,src_Badge_3575
src_Object_2648,src_Category_730
src_Queen_1065,src_Clothing_4797
src_Military-Unit_592,src_Church_1076
src_Engineer_3589,src_Time-Dependent_1905
src_Journalist_378,src_Natural-Object_1908
src_Relic_332,src_Food_4667
src_Engineer_3503,src_Other-Religious-Leader_3355
src_Intellectual-Construct_2202,src_Trade-Association_299
src_Pamphlet_50,src_Composer_186
src_Clothing_4675,src_Geographical-Region_3869
src_Cleric_2088,src_Discoverer_342
src_Educational-Organisation_227,src_TemporalInterval_2899
src_Commodity_3113,src_Newspaper_738
