src_Religious-Community_4248,src_Sportsman_501
src_City_3279,src_Musician_4432
src_Actor_3858,src_Conductor_839
src_Treaty_1535,src_Magnate_3486
src_Head-of-State_1431,src_Jurist_3957
src_Sculptor_588,src_Flavour_3766
src_Other-Religious-Person_4888,src_Journalist_1764
src_Cathedral_2266,src_Location-Part-Relation_1874
src_Philanthropist_3900,src_Train_4940
src_Politician_312,src_Person-Role_3574
src_Conceptual-Object_3904,src_TemporalInterval_2176
src_Person_3893,src_Event_1418
src_Food_3096,src_League_3810
src_Other-Religious-Person_3452,src_Economic-Symbol_3447
src_Food_3108,src_Artist_2017
src_Meeting_3752,src_Geographical-Discovery_1391
src_Liturgical-Object_3339,src_Trades-Unionist_156
src_Stereotype-Group_3248,src_Landmark_3222
src_Religious-Symbol_139,src_Sculpture_2181
src_Dancer_852,src_Ritual_661
src_League_4589,src_Trades-Unionist_4880
src_Economic-Symbol_2909,src_Flavour_1427
src_Emperor_3093,src_Country_1747
src_Other-Religious-Person_4640,src_Fictional-Event_2668
src_Object_600,src_Political-Region_4102
src_Dynasty_4067,src_Intra-State-Group_1756
src_Battle_1589,src_Religious-Community_1690
src_Film-Maker_3742,src_Idea_2906
src_Fictional-Person_876,src_Publisher_259
src_Party_475,src_Artefact_1799
src_Settlement_2185,src_Village_1224
src_Religious-Organisation_2183,src_Stereotype-Group_3790
src_Event_3729,src_University_3439
src_Conductor_3310,src_Writing_84
src_Book_1730,src_Intellectual-Construct_3587
src_Artist_1297,src_Time-Dependent_2406
src_Religious-Ideology_391,src_Fictional-Event_1888
src_Writing_1307,src_Technical-Scientific-Advance_2327
src_Pastime_3098,src_Category_467
src_Religious-Practice_4103,src_Jurist_153
src_Food_3888,src_Symbol_1020
src_Time-Dependent_556,src_Head-of-State_1025
src_Economic-Process_584,src_Trial_3285
src_Military-Unit_4441,src_Philosopher_3213
src_Ritual_675,src_Pastime_1425
src_Geographical-Region_1288,src_Fictional-Person_4175
