src_Sportsman_2973,src_Ecclesiarch_3392
src_Meeting_1507,src_Location_4795
src_Film-Maker_3213,src_Flavour_4782
src_Film-Maker_4891,src_Governmental-Organisation_1562
src_Musician_4287,src_Water_1462
src_Role_1504,src_Symbol_377
src_Entertainer_831,src_Emperor_2846
src_Minister_2943,src_Political-Region_1283
src_Scandal_194,src_FuzzyTemporalInterval_62
src_Conceptual-Object_3630,src_Pastime_4363
src_Measurable-Trend_2902,src_Relic_2198
src_Secular-Ideology_1820,src_Vehicle_4858
src_Clerical-Leader_1773,src_Symbol_2957
src_Secular-Leader_3269,src_Location-Part-Relation_4840
src_Economist_802,src_International-Alliance_806
src_Prince_4756,src_Abstract-Notion_4784
src_Stereotype-Group_1937,src_Geographical-Discovery_122
src_Ecclesiarch_2919,src_Journal_3862
src_Prince_771,src_Functionary_1443
src_Individual_678,src_Painting_3721
src_Disease_3631,src_Legislation_1356
src_Sculpture_1388,src_Vehicle_4051
src_Settlement_1522,src_Train_4236
src_Journal_3948,src_Artist_445
src_Politician_119,src_Functionary_3425
src_Settlement_2276,src_Physician_3686
src_Entertainer_1543,src_Economic-Symbol_3807
src_Conceptual-Object_2677,src_Engineer_1115
src_Military-Organisation_2538,src_Philosopher_4761
src_International-Organisation_2192,src_Armament_173
src_Non-Military-Conflict_3212,src_Pollution_2988
src_Painting_2490,src_Physician_3176
src_Role_4424,src_Legislation_3840
src_Conceptual-Object_1296,src_Pastime_1336
src_Party_2527,src_Pamphlet_848
src_Social-Group_1475,src_Prince_2947
src_Economist_2106,src_League_1702
src_Building_877,src_Social-Group_4347
src_Ideology_2467,src_Time-Dependent-Relation_1546
src_Election_418,src_Philosopher_3179
src_Trades-Union_4384,src_Uprising_2362
src_Event_1304,src_Religious-Order_4927
src_International-Organisation_2760,src_Non-Military-Conflict_3161
src_Intellectual-Construct_3438,src_Foreign-Minister_3182
src_Political-Region_2899,src_Crime_1225
src_Field-of-Knowledge_2952,src_Economic-Symbol_1145
src_Flavour_1845,src_Church_2938
src_Time-Dependent-Relation_2401,src_Artistic-Style_1811
src_Measurable-Trend_859,src_Building_3739
src_Sultan_2854,src_International-Alliance_2632
src_Flavour_2948,src_Life-Event_4005
src_Prince_1633,src_Legislation_1368
src_Geographical-Feature_4704,src_Sculptor_1445
src_Train_1900,src_Time-Dependent_4202
src_Artist_492,src_Conceptual-Object_2465
src_Artefact_4625,src_Ethnic-Group_4539
src_Politician_4020,src_Religious-Leader_4247
src_Religious-Symbol_1592,src_Role_1783
src_Artist_3727,src_Relic_3659
src_Intellectual-Movement_4585,src_Sculptor_4660
src_Animal_3927,src_Language_4359
src_Technical-Scientific-Advance_573,src_Flavour_1203
src_University_2373,src_Ecclesiarch_4545
src_International-Organisation_3704,src_Settlement_4720
src_VicodiOI_608,src_Religious-Order_4866
src_Architect_762,src_Military-Person_255
src_Queen_2295,src_Work-of-Art_4556
src_Sultan_2137,src_Party_4279
src_Structure_2514,src_Role_1425
src_Time-Dependent-Relation_1911,src_Publisher_4760
src_Ritual_4468,src_Secular-Movement_4384
src_Psychologist_3882,src_Role_3126
src_Category_3227,src_Disaster_1553
src_Intra-State-Group_4238,src_Engineer_2645
src_Clerical-Leader_182,src_Business-Leader_2701
src_Time-Dependent_1349,src_Minister_3500
src_Technical-Scientific-Advance_4021,src_Secular-Ideology_4865
src_Writing_3111,src_Time-Dependent-Relation_4404
src_Event_3637,src_Religious-Leader_4921
src_Landmark_4497,src_Dramaturge_4104
src_Relic_801,src_Prince_3487
src_Artefact_2162,src_Political-Region_4949
src_Intellectual-Construct_3465,src_Artistic-Movement_4739
src_Symbol_2745,src_Emperor_209
src_Period-in-Office_4734,src_Ship_2969
src_Idea_4400,src_Structure_2052
src_Idea_2515,src_Landmark_2784
src_Social-Group_3587,src_Cathedral_731
src_Building_4997,src_Dynasty_1783
src_Meeting_2089,src_Country_4978
src_Religious-Order_2764,src_Ideology_4120
src_Geographical-Feature_4425,src_Animal_2871
src_Painter_3271,src_Natural-Object_1127
src_Natural-Object_1798,src_Liturgical-Object_2484
