src_Location_4978,src_Abbey_597
src_Religious-Symbol_865,src_Intellectual-Construct_3752
src_Commodity_219,src_Psychologist_1722
src_Clerical-Leader_1492,src_Disease_4788
src_City_2999,src_Fictional-Person_3440
src_Uprising_4533,src_Religious-Practice_3671
src_University_3545,src_Other-Religious-Person_1317
src_Election_2704,src_Cleric_1738
src_Sculptor_3311,src_Artefact_4591
src_Life-Event_4796,src_Abstract-Notion_2619
src_War_1510,src_University_3850
src_Journalist_505,src_Treaty_3385
src_Political-Region_4881,src_Period_3608
src_Piece-of-Music_3224,src_Field-of-Knowledge_1164
src_King_2154,src_Publisher_1440
src_Artistic-Style_4077,src_Crime_671
src_Time-Dependent-Relation_2671,src_Pastime_2865
src_Field-of-Knowledge_4280,src_Water_2968
src_Economic-Process_54,src_Church-Reformer_4261
src_Trade-Association_750,src_Trade-Association_380
src_Commodity_3056,src_Dancer_1817
src_Clerical-Leader_612,src_Political-Organisation_1901
src_Trade-Association_1953,src_Economic-Symbol_4809
src_Sculptor_2669,src_Secular-Movement_1293
src_Movement_742,src_Disease_3254
src_Religious-Ideology_4286,src_Economist_2426
src_Cultural-Organisation_3853,src_Sculpture_3401
src_Individual_3776,src_Landmark_530
src_Secular-Movement_2464,src_Ideology_4759
src_Artistic-Movement_358,src_Physician_166
src_Head-of-State_314,src_Emperor_3372
src_Economist_1546,src_Author_4248
src_Journalist_1943,src_Trades-Union_554
src_Secular-Leader_2276,src_Conductor_1958
src_Role_4128,src_Geographical-Feature_1409
src_Writing_3106,src_Treaty_4583
src_International-Organisation_2652,src_Armament_1886
src_Geographer_1384,src_Piece-of-Music_2122
src_Food_3256,src_Legislation_4398
src_Abbey_1490,src_Individual_2884
src_Life-Event_4015,src_King_2961
src_Foreign-Minister_2245,src_Writing_4168
src_Foreign-Minister_818,src_Commodity_3025
src_Management-Organisation_2129,src_Field-of-Knowledge_3078
src_Author_2953,src_Ship_1994
src_Religious-Movement_3409,src_Cultural-Agreement_4998
src_Measurable-Trend_3088,src_Location_3561
src_Sultan_4440,src_Prince_2860
src_Religious-Practice_3059,src_Technical-Scientific-Advance_671
src_Idea_4893,src_Discoverer_1867
src_Politician_1057,src_Cultural-Organisation_861
src_Economic-Process_1264,src_Diplomat_1876
src_Clothing_4067,src_Technical-Scientific-Advance_4767
src_Language_4090,src_War_2446
