src_Artist_2877,src_Religious-Organisation_2170
src_League_2735,src_Political-Organisation_1656
src_Secular-Movement_924,src_Management-Organisation_2323
src_Religious-Order_3153,src_Religious-Leader_69
src_Flavour_686,src_Politician_3067
src_Category_555,src_Sultan_2439
src_FuzzyTemporalInterval_2231,src_Idea_800
src_Geographical-Region_3175,src_League_1792
src_Person_203,src_Geographical-Feature_1986
src_Trades-Union_60,src_Village_3517
src_Inventor_1690,src_Musician_122
src_Economic-Enterprise_1954,src_Period_2422
src_Military-Unit_3173,src_Country_1972
src_Animal_2811,src_Inventor_4522
src_Religious-Leader_2646,src_Dramaturge_3926
src_Political-Organisation_3908,src_Other-Religious-Leader_2270
src_Social-Stratum_3428,src_Language_1985
src_Church-Reformer_465,src_Legislation_516
src_Politician_4276,src_Dramaturge_2461
src_Village_3915,src_International-Alliance_2950
src_Religious-Leader_3208,src_Settlement_1734
src_Composer_2933,src_Period_362
src_International-Organisation_4859,src_Abstract-Notion_3083
src_Uprising_1362,src_Artistic-Movement_36
src_Painter_2667,src_International-Organisation_1163
src_Leader_1041,src_Publisher_2993
src_Writing_4086,src_Emperor_4184
src_Art-Form_4329,src_Jurist_4928
src_Ethnic-Group_2324,src_Emperor_4125
src_Secular-Leader_1836,src_Object_4193
src_Organisation_3387,src_Religious-Community_26
src_Life-Event_2143,src_Person_111
src_Relic_893,src_City_516
src_Work-of-Art_2928,src_Business-Leader_751
src_Artistic-Style_2051,src_Art-Form_3311
src_Legislation_1231,src_Theologian_2265
src_Psychologist_1133,src_Geographer_2694
src_Event_4349,src_Pope_468
src_Intellectual-Movement_3047,src_Religious-Community_3734
src_Geographical-Discovery_4695,src_Artist_4347
src_Dramaturge_2726,src_Discoverer_3345
src_International-Alliance_1267,src_Military-Person_3323
src_Dynasty_2440,src_Scientific-Instrument_2350
src_Sportsman_2809,src_Conductor_1300
src_Masonic-Lodge_4479,src_Idea_35
src_Management-Organisation_987,src_Economic-Organisation_2230
src_Pollution_1550,src_Person_1453
src_Trade-Association_444,src_Treaty_731
src_Event_4922,src_Dancer_1772
src_Location-Part-Relation_3437,src_Life-Event_3329
src_Party_4449,src_Film-Maker_4586
src_Illness_1259,src_Geographical-Region_3262
src_Commodity_2590,src_Intra-State-Group_3954
src_Entertainer_1,src_Time-Dependent_668
src_Legislation_954,src_Film-Maker_1434
src_International-Alliance_3252,src_Scientific-Instrument_1276
src_Saint_4180,src_Religious-Order_771
src_Astronaut_2130,src_Trades-Union_3684
src_TemporalInterval_754,src_Representative-Institution_2853
src_Clerical-Leader_4225,src_Governmental-Organisation_683
src_Secular-Movement_589,src_Location-Part-Relation_2166
src_Battle_4638,src_Period_1034
src_Trades-Union_249,src_Publisher_2858
src_Church-Reformer_2227,src_City_4778
src_Magnate_2057,src_Ship_1641
src_Settlement_4542,src_Trade-Association_2497
src_Sculpture_919,src_Journal_4109
src_Geographical-Feature_2688,src_Clothing_543
src_Ideology_1561,src_Philanthropist_483
src_Public-Oration_4179,src_Inventor_3259
src_Economic-Organisation_3565,src_Religious-Order_975
src_Piece-of-Music_4859,src_Philosopher_736
src_Person-Role_4621,src_Location-Part-Relation_4474
src_Work-of-Art_2086,src_Cleric_2756
src_Cleric_4467,src_Religious-Organisation_3909
src_VicodiOI_83,src_Other-Religious-Person_1781
src_Time_3662,src_Work-of-Art_357
src_Trade-Association_2502,src_National-Symbol_4348
src_Functionary_4098,src_Cathedral_3079
src_Organisation_2458,src_International-Alliance_443
src_Author_2732,src_Social-Stratum_1298
src_Train_3645,src_Conductor_2816
src_Idea_3275,src_Art-Form_1553
src_Abstract-Notion_2463,src_Cultural-Organisation_1298
src_Pollution_4024,src_Discoverer_2736
src_Idea_4066,src_Scandal_2888
src_Crime_838,src_Military-Person_228
src_Masonic-Lodge_4547,src_Intellectual-Construct_1527
src_Management-Organisation_3418,src_Musician_3742
src_Technical-Scientific-Advance_1239,src_Masonic-Lodge_1274
src_Commodity_515,src_Ritual_3382
src_Sculptor_3814,src_Disease_2969
src_National-Symbol_4946,src_FuzzyTemporalInterval_337
src_Social-Group_1060,src_Scientist_213
src_Cultural-Organisation_3827,src_Religious-Symbol_212
src_Cathedral_4338,src_Work-of-Art_199
src_Ship_1058,src_International-Alliance_4488
src_Commodity_1272,src_Military-Organisation_1694
src_League_1623,src_Role_2678
src_Diplomat_1198,src_Secular-Movement_1631
src_Flavour_4050,src_Dancer_690
src_Geographical-Discovery_2982,src_Religious-Organisation_2325
src_Non-Military-Conflict_1294,src_Church_322
src_Language_748,src_Field-of-Knowledge_888
src_Pamphlet_1425,src_Conductor_1494
src_Geographical-Discovery_1557,src_Film-Maker_3607
src_Cathedral_2762,src_Management-Organisation_3951
src_King_4635,src_Secular-Leader_4952
src_Piece-of-Music_490,src_Foreign-Minister_2737
src_Artefact_4142,src_Head-of-State_1716
src_Religious-Practice_3019,src_Religious-Ideology_1363
src_Location-Part-Relation_1076,src_Artistic-Style_4110
src_Religious-Leader_4587,src_Masonic-Lodge_3291
src_Person-Role_4329,src_Time_4186
src_Ecclesiarch_4834,src_Organisation_3540
src_Religious-Organisation_2087,src_Movement_272
src_Philanthropist_415,src_Journal_3249
src_Conceptual-Object_1423,src_Military-Organisation_4007
src_Creator_2454,src_Economic-Organisation_249
src_Conceptual-Object_230,src_Physician_4964
src_Artefact_2148,src_Professor_1923
src_Trades-Union_3689,src_Newspaper_779
src_Religious-Order_4697,src_Book_2713
src_Abbey_4328,src_Pamphlet_4458
src_Water_908,src_Painting_318
src_Dancer_2134,src_Public-Oration_4474
src_Event_898,src_Cleric_3177
src_Cleric_206,src_Economist_687
src_International-Organisation_2280,src_TemporalInterval_3042
src_Location_4439,src_Ship_61
src_Clerical-Leader_2755,src_Business-Leader_202
src_Management-Organisation_1249,src_Treaty_2659
src_Landmark_3583,src_War_4100
src_League_1718,src_Population-Movement_3049
src_Religious-Community_4077,src_Military-Unit_2512
src_Abstract-Notion_3817,src_Cathedral_1123
src_Economic-Process_2866,src_Dynasty_4452
src_Minister_353,src_Field-of-Knowledge_3869
src_Board_3574,src_Trade-Association_1411
src_Measurable-Trend_4814,src_Category_1550
src_Jurist_2066,src_Life-Event_3680
src_Conductor_1139,src_Person-Role_559
src_Structure_897,src_Village_2889
