src_Religious-Organisation_1208,src_Politician_919
src_Abstract-Notion_182,src_Church-Reformer_4059
src_Representative-Institution_2248,src_Cleric_3176
src_Economic-Organisation_3685,src_Masonic-Lodge_2884
src_Conceptual-Object_932,src_Church-Reformer_2438
src_Musician_3890,src_Scientific-Instrument_2770
src_Art-Form_3719,src_University_4464
src_Ideology_4347,src_Political-Region_4581
src_Role_934,src_Symbol_4301
src_Dynasty_349,src_Clerical-Leader_2938
src_Field-of-Knowledge_2889,src_Natural-Object_4798
src_Composer_2209,src_Pamphlet_994
src_Fictional-Person_1191,src_Journal_4289
src_Discoverer_2336,src_Discoverer_1092
src_Minister_1309,src_Social-Group_2002
src_Cultural-Organisation_143,src_Political-Region_2195
src_Newspaper_543,src_Conductor_3761
src_Painter_1844,src_Pope_1868
src_Masonic-Lodge_3789,src_Head-of-Government_2568
src_Political-Symbol_406,src_Crime_598
src_Landmark_1103,src_Ship_1772
src_Disease_4248,src_Sportsman_4177
src_League_1089,src_Landmark_633
src_Population-Movement_1477,src_Philanthropist_2465
src_Settlement_3079,src_Language_3240
src_Measurable-Trend_525,src_Sportsman_51
src_Pope_2057,src_Location-Part-Relation_1715
src_Natural-Object_2319,src_Role_1708
src_Time-Dependent-Relation_3304,src_Dramaturge_4373
src_Period-in-Office_4860,src_VicodiOI_2143
src_Educational-Organisation_3135,src_Structure_779
src_Board_4290,src_Politician_2341
src_Piece-of-Music_2714,src_Symbol_943
src_Religious-Community_3222,src_Dancer_2587
src_TemporalInterval_4449,src_Prince_745
src_Political-Symbol_1336,src_Educational-Organisation_513
src_Political-Region_1670,src_Uprising_1350
src_Religious-Practice_4090,src_Geographical-Discovery_2072
src_Artefact_218,src_Building_499
src_Clerical-Leader_1857,src_Book_1857
src_Work-of-Art_1284,src_Geographical-Region_3913
src_Abstract-Notion_2106,src_Settlement_1882
src_Geographical-Feature_2761,src_Magnate_2536
src_Meeting_4286,src_Movement_809
src_Head-of-State_4964,src_Technical-Scientific-Advance_3757
src_Idea_4558,src_Individual_2064
src_FuzzyTemporalInterval_4519,src_Theologian_838
src_Queen_2966,src_War_433
src_Badge_856,src_International-Organisation_2346
src_Politician_4373,src_Jurist_666
src_Time_4485,src_Movement_3915
src_Conceptual-Object_755,src_Film-Maker_2568
src_Clerical-Leader_263,src_Flavour_2101
src_Cultural-Organisation_954,src_Artist_3221
src_Discoverer_794,src_King_1926
src_Sportsman_542,src_Social-Group_403
src_Prince_3875,src_Pollution_4366
src_Military-Organisation_3796,src_Disease_1703
src_Trades-Unionist_424,src_Head-of-Government_4622
src_Abstract-Notion_1221,src_Entertainer_3521
src_Sculptor_1091,src_League_794
src_Natural-Object_308,src_Structure_2992
src_Village_2135,src_Leader_4377
src_Conceptual-Object_4323,src_Educational-Organisation_817
src_Symbol_281,src_Environment_537
src_Water_4874,src_Governmental-Organisation_4647
src_Uprising_279,src_Military-Person_4357
src_Military-Person_2696,src_Natural-Object_3417
src_Cathedral_4388,src_Functionary_2841
src_Piece-of-Music_351,src_VicodiOI_3232
src_Measurable-Trend_1242,src_League_2377
src_Scientific-Instrument_3051,src_Political-Region_655
src_Work-of-Art_189,src_Vehicle_3303
src_Location-Part-Relation_4803,src_Representative-Institution_4980
src_Dancer_4782,src_Professor_1908
src_Individual_3183,src_Economic-Enterprise_1163
src_Battle_429,src_Sculptor_772
src_Diplomat_4727,src_Functionary_4199
src_Treaty_1582,src_Period_724
src_Trades-Union_2594,src_Representative-Institution_2315
src_VicodiOI_4213,src_Technical-Scientific-Advance_4405
src_City_3452,src_Category_2410
src_Religious-Ideology_265,src_Vehicle_3720
src_Field-of-Knowledge_414,src_Relic_180
src_Architect_2932,src_Psychologist_3361
src_Life-Event_3601,src_Trade-Association_1378
src_Physician_8,src_Engineer_2613
src_Entertainer_2098,src_Queen_3679
src_Cultural-Organisation_3395,src_Settlement_4518
src_Ideology_3040,src_Crime_2294
src_Political-Organisation_2611,src_Astronaut_483
src_TemporalInterval_3041,src_Location_1640
src_Religious-Ideology_2515,src_Location_3987
src_Business-Leader_160,src_Head-of-Government_4197
src_Ship_3724,src_Journal_1905
src_Foreign-Minister_2569,src_Head-of-Government_3175
src_Disease_3956,src_Queen_4926
src_Discoverer_2587,src_Artist_2324
src_Theologian_4458,src_Religious-Leader_4523
src_Diplomat_292,src_Disaster_1323
src_Sportsman_1831,src_Trade-Association_3429
src_Person_224,src_Location-Part-Relation_795
src_Vehicle_598,src_Military-Organisation_3722
src_Artistic-Movement_634,src_Animal_993
src_Cleric_836,src_Ecclesiarch_473
src_Business-Leader_4361,src_Journalist_2784
src_Religious-Community_2720,src_Scientist_1963
src_Engineer_3548,src_Queen_1248
src_Intellectual-Movement_683,src_Sculpture_670
src_Battle_4230,src_Intellectual-Construct_513
src_Philanthropist_2881,src_Minister_1005
src_Intellectual-Movement_4866,src_City_2999
src_Battle_4158,src_Functionary_1435
src_Uprising_4151,src_Discoverer_4365
src_Public-Oration_3962,src_Commodity_1223
src_Economist_436,src_Country_4388
src_Fictional-Event_2533,src_Social-Group_407
src_Other-Religious-Person_2596,src_Artistic-Style_3371
src_Time_4274,src_Religious-Symbol_343
src_King_2164,src_Person_821
src_Meeting_975,src_Trade-Association_1672
src_Minister_1776,src_Religious-Ideology_4424
src_Time-Dependent_3203,src_Scandal_2652
src_Governmental-Organisation_33,src_Art-Form_3338
src_War_1807,src_Geographical-Feature_2237
src_Ship_2249,src_Village_4972
src_Battle_4989,src_Emperor_2275
src_Ideology_3580,src_Political-Symbol_3152
src_Ecclesiarch_3451,src_Role_2461
src_Pope_2184,src_Time-Dependent_3629
src_Newspaper_2865,src_Artist_1244
src_Politician_1397,src_Flavour_2887
src_Inventor_4894,src_Pamphlet_4661
src_Meeting_574,src_Representative-Institution_1233
src_Cultural-Agreement_974,src_Intellectual-Movement_469
src_Educational-Organisation_3854,src_Relic_2804
src_Location_3678,src_Economist_2604
src_Clothing_3675,src_Publisher_2399
src_Creator_4206,src_Scandal_3741
src_Geographer_1990,src_Religious-Movement_2487
src_Saint_4238,src_Country_1690
src_Religious-Practice_2296,src_TemporalInterval_701
src_Time-Dependent_321,src_Economic-Enterprise_4017
src_Religious-Order_3910,src_Church-Reformer_2285
src_Painting_4652,src_Book_3819
src_Painting_3470,src_Trades-Union_1387
src_Trial_4031,src_Economist_4217
src_Religious-Community_1999,src_Badge_3565
src_Journal_2874,src_Pastime_3471
src_Book_2972,src_Dynasty_757
src_Clothing_1537,src_VicodiOI_4547
src_Church-Reformer_4081,src_Political-Region_4718
src_Masonic-Lodge_864,src_Magnate_4693
src_Economic-Organisation_3108,src_Geographical-Feature_3508
src_Diplomat_3759,src_Painting_3646
src_Book_3549,src_Musician_798
src_Trades-Unionist_2607,src_Magnate_4386
src_Governmental-Organisation_2158,src_Military-Unit_2885
src_Foreign-Minister_4411,src_FuzzyTemporalInterval_4568
src_Location-Part-Relation_2866,src_Trade-Association_4508
src_Relic_3704,src_Religious-Order_3030
src_Life-Event_4025,src_Ecclesiarch_2719
src_Population-Movement_2820,src_Geographical-Discovery_1599
src_Minister_4187,src_Dramaturge_3222
src_Journal_2497,src_Fictional-Event_1511
src_Armament_2256,src_Book_3177
src_Religious-Order_3683,src_Illness_2514
src_Artistic-Style_3718,src_Trades-Unionist_4827
src_Intra-State-Group_782,src_Dramaturge_418
src_Location_1482,src_Painter_2712
src_Movement_72,src_Other-Religious-Leader_1384
src_Astronaut_3237,src_Stereotype-Group_2952
src_Flavour_708,src_Disaster_4328
src_Event_3520,src_International-Alliance_836
src_Person_1661,src_Jurist_3903
src_Clothing_600,src_Military-Organisation_4846
src_Cathedral_4814,src_Geographical-Region_3830
src_Secular-Ideology_554,src_Artistic-Style_4395
src_Period-in-Office_2944,src_Economic-Enterprise_1918
src_Category_2023,src_Cleric_2393
src_Professor_3836,src_Governmental-Organisation_4274
src_Artistic-Style_3249,src_Work-of-Art_1227
src_Village_2828,src_Diplomat_3906
src_Commodity_3739,src_Geographical-Discovery_3258
src_Art-Form_4670,src_Church-Reformer_4036
src_VicodiOI_1829,src_Artist_2067
src_Relic_3376,src_Head-of-Government_323
src_Inventor_3438,src_Artist_4461
src_Period_1356,src_Artist_2290
src_Country_2087,src_Foreign-Minister_4089
src_Non-Military-Conflict_3085,src_Physician_3199
src_International-Alliance_1582,src_Military-Person_3426
src_Religious-Organisation_2040,src_Battle_2818
src_Artistic-Style_4168,src_Church_2437
src_Abbey_2828,src_Religious-Leader_2621
src_Relic_660,src_TemporalInterval_4943
src_Ship_4034,src_Stereotype-Group_4443
src_King_2759,src_Pope_3059
src_Cathedral_2588,src_Governmental-Organisation_2530
src_Cultural-Organisation_2802,src_Trades-Unionist_235
src_Leader_1913,src_Food_635
src_Water_4869,src_Intellectual-Construct_3684
src_Scientific-Instrument_4503,src_Monastery_2847
src_Pastime_4408,src_Magnate_2060
src_Philanthropist_152,src_Cultural-Agreement_1097
src_Diplomat_4012,src_Cleric_4541
src_Architect_4445,src_Intellectual-Movement_4616
src_Ship_1821,src_Time-Dependent-Relation_4513
src_Event_2317,src_Secular-Ideology_1739
src_Location_554,src_Environment_1013
src_Geographical-Region_2879,src_Discoverer_261
src_Landmark_3923,src_Criminal_4384
src_Measurable-Trend_2466,src_University_376
src_Scandal_650,src_Water_1530
src_Geographical-Discovery_660,src_Uprising_4347
src_Period-in-Office_322,src_Ethnic-Group_3744
src_Geographer_288,src_Ritual_1510
src_Organisation_4099,src_Structure_3604
src_Relic_3558,src_Time_3227
src_Art-Form_1371,src_Queen_3790
src_Political-Symbol_3926,src_Intellectual-Movement_172
src_Psychologist_1069,src_Person-Role_312
src_Astronaut_2172,src_Artist_3625
src_Scientific-Instrument_4566,src_Non-Military-Conflict_2931
src_Animal_4685,src_Legislation_9
src_Architect_2282,src_Engineer_4940
src_Measurable-Trend_2320,src_Religious-Community_1997
src_Religious-Community_99,src_Intellectual-Movement_1235
src_Saint_3702,src_Discoverer_2818
src_Language_1290,src_Cultural-Agreement_3584
src_National-Symbol_2906,src_International-Alliance_1669
src_Uprising_3171,src_Organisation_4174
src_Religious-Leader_1178,src_Religious-Practice_2622
src_Religious-Symbol_1789,src_Head-of-State_1170
src_Commodity_2611,src_Time-Dependent_55
