src_Engineer_298,src_Language_4326
src_Prince_3175,src_Idea_3384
src_Non-Military-Conflict_4343,src_International-Organisation_2506
src_Composer_2125,src_Minister_4291
src_Disease_4577,src_Professor_3538
src_Writing_314,src_Meeting_2543
src_Religious-Movement_3035,src_Criminal_716
src_Magnate_1708,src_Field-of-Knowledge_2928
src_Trial_4489,src_Military-Organisation_2744
src_Structure_1951,src_Emperor_602
src_University_2563,src_Foreign-Minister_847
src_Ecclesiarch_853,src_Abbey_60
src_Other-Religious-Person_1281,src_Painter_4134
src_Business-Leader_846,src_Painter_63
src_Educational-Organisation_4447,src_Painting_3809
src_Social-Group_1040,src_Time_254
src_Life-Event_67,src_Fictional-Person_802
src_Trial_3095,src_Foreign-Minister_1830
src_Sultan_338,src_University_2433
src_Inventor_509,src_Trial_1188
src_Clerical-Leader_710,src_Pope_1019
src_Location-Part-Relation_4275,src_Work-of-Art_2451
src_Idea_4690,src_Cultural-Agreement_2605
src_Scandal_4461,src_Relic_1357
src_Governmental-Organisation_1923,src_Architect_4607
src_City_3538,src_Intellectual-Movement_71
src_Commodity_4744,src_Sculpture_1763
src_Train_1442,src_Prince_2495
src_Head-of-Government_4131,src_Cultural-Agreement_1516
src_Sculpture_1525,src_Political-Region_3119
src_Party_4350,src_Astronaut_2538
src_Entertainer_3426,src_Person-Role_633
src_Creator_2446,src_Criminal_3075
src_Governmental-Organisation_3869,src_Location_3386
src_Military-Unit_2771,src_Business-Leader_2121
src_Category_2942,src_Work-of-Art_3057
src_Composer_125,src_Theologian_655
src_Abstract-Notion_3793,src_Engineer_982
src_Dancer_2672,src_Social-Stratum_1557
src_FuzzyTemporalInterval_1032,src_Disaster_301
src_Non-Military-Conflict_2968,src_Journalist_3946
src_Building_2258,src_Trial_427
src_Magnate_365,src_Uprising_1311
src_Ideology_1864,src_Management-Organisation_4693
src_Professor_504,src_Cultural-Agreement_4152
src_Journal_1538,src_Political-Region_461
src_Structure_2860,src_Sultan_179
src_Other-Religious-Person_2085,src_Individual_3286
src_Battle_3133,src_Economic-Enterprise_608
src_Painter_3567,src_Painting_2845
src_Idea_1212,src_FuzzyTemporalInterval_2369
src_Religious-Ideology_513,src_Other-Religious-Person_3816
src_Battle_3176,src_Representative-Institution_3241
src_Publisher_916,src_Secular-Ideology_616
src_Prince_2485,src_Clerical-Leader_2303
src_Location_4284,src_Geographical-Region_1032
src_Idea_4601,src_Category_201
src_Abbey_3152,src_Educational-Organisation_4125
src_Time_169,src_Newspaper_411
src_Public-Oration_2951,src_Geographical-Discovery_1421
src_Philosopher_1608,src_Jurist_503
src_Field-of-Knowledge_955,src_Artistic-Movement_3506
src_Trade-Association_9,src_Intellectual-Movement_3612
src_Organisation_1841,src_Pamphlet_2414
src_International-Organisation_4431,src_Fictional-Person_2402
src_Diplomat_1383,src_Organisation_822
src_Head-of-State_1979,src_Engineer_273
src_Party_3677,src_Trades-Union_4273
src_Geographical-Feature_2182,src_Movement_239
src_Technical-Scientific-Advance_3580,src_Natural-Object_744
src_Intellectual-Movement_3418,src_Person-Role_736
src_Legislation_4825,src_Religious-Symbol_4885
src_Emperor_2804,src_Sculptor_4894
src_Structure_4226,src_Other-Religious-Leader_1582
src_Language_2461,src_Individual_416
src_Geographical-Discovery_3903,src_FuzzyTemporalInterval_2752
src_Cathedral_1380,src_Religious-Movement_4148
src_Geographical-Discovery_194,src_Time_3454
src_Pamphlet_2557,src_Pope_3935
src_Other-Religious-Person_1335,src_Life-Event_3601
src_Theologian_956,src_Representative-Institution_1944
src_Criminal_2228,src_Organisation_3967
src_League_3498,src_Armament_3435
src_Time_217,src_Creator_3542
src_Social-Stratum_3039,src_Sculptor_2250
src_Uprising_1241,src_Scientific-Instrument_2999
src_Business-Leader_2221,src_Magnate_1363
src_University_2703,src_Category_1837
src_Magnate_2379,src_University_1430
src_Time-Dependent-Relation_1513,src_Other-Religious-Leader_3253
src_Cathedral_927,src_Commodity_134
src_Building_3944,src_Clothing_1814
src_Animal_1786,src_Psychologist_4645
src_Head-of-State_3677,src_Religious-Symbol_2952
src_Social-Group_832,src_Water_4290
src_Object_1525,src_Newspaper_1150
src_Stereotype-Group_1661,src_Category_4428
src_Trade-Association_3190,src_Governmental-Organisation_1613
src_Artistic-Style_3632,src_Structure_2909
src_Prince_191,src_Sportsman_3125
src_Geographical-Discovery_3555,src_Economist_2161
src_Non-Military-Conflict_3587,src_City_4124
src_Election_2576,src_Ideology_110
src_Building_1366,src_Food_1064
src_Population-Movement_3885,src_Intra-State-Group_2844
src_Economic-Symbol_2870,src_Management-Organisation_3979
src_Artistic-Style_2712,src_Newspaper_932
src_Foreign-Minister_835,src_Commodity_4398
src_Artistic-Style_2972,src_Category_2843
src_Village_4542,src_Sportsman_4897
src_Ethnic-Group_4186,src_Physician_3205
src_Discoverer_3349,src_Journal_798
src_Pastime_2360,src_Location-Part-Relation_4747
src_Painting_493,src_Ritual_4171
src_Philosopher_1453,src_Flavour_3704
src_Pope_3950,src_Crime_566
src_Legislation_3770,src_Governmental-Organisation_29
src_Location_3811,src_Diplomat_424
src_Economist_2890,src_Disease_4946
src_Ideology_774,src_Minister_3637
src_Head-of-Government_4866,src_Prince_718
src_King_2560,src_Population-Movement_4592
src_Geographer_2121,src_Artistic-Movement_1403
src_Author_4886,src_Queen_1649
src_Person-Role_4848,src_Pope_1277
src_Symbol_3364,src_Intellectual-Construct_3216
src_Uprising_2771,src_Pollution_2897
src_Economic-Organisation_4806,src_Geographical-Discovery_2928
src_Discoverer_1342,src_Work-of-Art_1136
src_Other-Religious-Leader_481,src_Dynasty_2951
src_Pollution_3161,src_Crime_4963
src_Flavour_4318,src_VicodiOI_3602
src_Newspaper_1524,src_Person_1166
src_Measurable-Trend_2383,src_Organisation_4755
src_Creator_2587,src_Representative-Institution_110
src_Conceptual-Object_2648,src_City_3021
src_Abbey_4562,src_Pastime_3269
src_Art-Form_3230,src_Election_4435
src_Sportsman_1457,src_Armament_3883
src_King_4707,src_Object_1494
src_Structure_4192,src_Crime_3596
src_Artefact_4151,src_Economist_4438
src_Head-of-Government_3468,src_Secular-Leader_4430
src_Armament_1792,src_Economic-Symbol_349
src_Artist_1016,src_Scientist_929
src_Intellectual-Movement_4755,src_Cultural-Organisation_2674
src_FuzzyTemporalInterval_268,src_Economist_1471
src_Philanthropist_3736,src_Period-in-Office_1041
src_Battle_2305,src_Population-Movement_1083
src_Monastery_4857,src_Natural-Object_2260
src_Economic-Process_2139,src_War_316
src_Abbey_2698,src_Role_535
src_Pope_3717,src_Ritual_3520
src_International-Alliance_4210,src_City_4797
src_Pope_4255,src_Technical-Scientific-Advance_3235
src_Leader_2097,src_Religious-Order_1398
src_Cultural-Organisation_3875,src_Prince_1783
src_Religious-Movement_3136,src_Abstract-Notion_1115
src_International-Organisation_3075,src_Religious-Community_3251
src_Political-Symbol_3899,src_Leader_1445
src_Language_2637,src_Population-Movement_1839
src_Political-Symbol_4329,src_Event_4883
src_TemporalInterval_1399,src_Animal_2827
src_Idea_2314,src_Philosopher_3738
src_Language_1234,src_Work-of-Art_2165
src_Category_2464,src_Armament_3780
src_Category_4418,src_Meeting_1801
src_Language_942,src_Other-Religious-Person_2676
src_Fictional-Event_2467,src_Animal_1376
src_Writing_2475,src_Life-Event_4606
src_Animal_3893,src_Musician_4660
src_Disaster_4208,src_Public-Oration_3785
src_Village_433,src_Badge_2815
src_Other-Religious-Leader_4293,src_Abstract-Notion_4398
src_Philanthropist_530,src_Trial_769
src_Scandal_591,src_Fictional-Person_4776
src_Field-of-Knowledge_189,src_Sculptor_2785
src_Functionary_3893,src_Jurist_515
src_Emperor_0,src_Religious-Order_1368
src_Journalist_4102,src_Event_4598
src_Masonic-Lodge_1494,src_Meeting_1787
src_Politician_3092,src_Artefact_3411
src_Military-Organisation_3312,src_Dramaturge_1600
src_War_1979,src_Settlement_1108
src_Astronaut_3325,src_Role_4973
src_Management-Organisation_66,src_Business-Leader_2981
src_Person_4459,src_Saint_245
src_Water_4320,src_Vehicle_1558
src_Leader_123,src_Location-Part-Relation_2300
src_Landmark_367,src_Political-Symbol_3752
src_Theologian_2864,src_Economic-Symbol_768
src_Functionary_2069,src_Country_3645
src_Queen_4232,src_Artistic-Style_4288
src_Sculptor_494,src_Abbey_545
src_Location_265,src_Artist_1814
src_Military-Organisation_2370,src_Pastime_837
src_Conceptual-Object_1380,src_Publisher_406
src_Clothing_61,src_Economic-Process_4144
src_Philanthropist_549,src_Disaster_2582
src_Commodity_1313,src_Environment_4510
src_Painting_1425,src_Economic-Organisation_1462
src_Journalist_4173,src_Scientist_2163
src_Cultural-Organisation_4423,src_Head-of-Government_1839
src_Time-Dependent-Relation_3529,src_Film-Maker_4942
src_King_1015,src_Economic-Organisation_3366
src_Person-Role_1159,src_Individual_1352
src_Disease_3301,src_Artistic-Movement_511
src_Publisher_915,src_Legislation_4284
src_Monastery_4366,src_Entertainer_4644
src_Actor_2731,src_Religious-Organisation_3086
src_Head-of-Government_720,src_Magnate_69
src_Professor_0,src_Newspaper_3638
src_Book_2670,src_Film-Maker_558
src_Political-Symbol_1275,src_Language_3196
src_Other-Religious-Leader_1138,src_Book_2790
src_Symbol_4752,src_Physician_4987
src_Newspaper_2857,src_Fictional-Event_1004
src_Field-of-Knowledge_4085,src_Time-Dependent-Relation_3240
src_Country_1634,src_FuzzyTemporalInterval_4298
src_Geographer_2939,src_Prince_1937
src_Stereotype-Group_470,src_Cultural-Organisation_3476
src_Writing_3668,src_Commodity_511
src_Social-Stratum_3633,src_League_3575
src_Organisation_195,src_Abstract-Notion_2246
src_Trades-Unionist_4495,src_VicodiOI_2676
src_Badge_2750,src_Clothing_2746
src_Social-Group_2919,src_Structure_2396
src_Geographical-Region_239,src_Foreign-Minister_3058
src_Geographical-Region_843,src_Writing_3123
src_Church-Reformer_766,src_Trade-Association_2175
src_Field-of-Knowledge_4718,src_Ship_2302
src_Secular-Movement_2776,src_Sportsman_3498
src_Magnate_1324,src_Cultural-Agreement_2615
src_Dynasty_4451,src_Entertainer_4139
src_Food_980,src_Time_1125
src_Physician_2583,src_Conductor_1982
src_Legislation_817,src_Abbey_3382
src_Magnate_1670,src_Cultural-Organisation_2717
src_Category_4548,src_Piece-of-Music_3184
src_Physician_1923,src_Time_2003
src_Geographical-Discovery_4411,src_Religious-Ideology_737
src_Time-Dependent_367,src_Functionary_1717
src_Minister_3205,src_Ecclesiarch_4691
src_Inventor_4319,src_National-Symbol_4505
src_Book_3515,src_Religious-Ideology_4499
src_Location_2374,src_Election_4232
src_VicodiOI_120,src_Pollution_2503
src_Conductor_1889,src_Religious-Organisation_4445
src_Military-Unit_4650,src_Representative-Institution_390
src_Clerical-Leader_398,src_Technical-Scientific-Advance_292
src_Relic_3094,src_Flavour_1433
src_Pamphlet_3139,src_Publisher_534
src_Scientist_3647,src_Armament_230
src_Object_3629,src_Architect_1530
src_Clothing_2535,src_Secular-Ideology_513
src_Relic_4285,src_Military-Unit_3275
src_Fictional-Event_2699,src_Artistic-Movement_3746
src_Ideology_940,src_Disaster_2846
src_Astronaut_2282,src_Jurist_2132
src_Symbol_2688,src_Dynasty_2354
src_Author_1543,src_Physician_1993
src_Military-Organisation_2580,src_Architect_2407
src_Social-Stratum_2602,src_Other-Religious-Person_1664
src_Religious-Movement_1220,src_Geographer_2105
src_Illness_1915,src_Architect_4825
src_Badge_4917,src_Building_3101
src_Economic-Symbol_3839,src_Role_3222
src_Party_3569,src_Artefact_3608
src_Abbey_3671,src_Building_1570
src_Book_1393,src_Physician_4685
src_Masonic-Lodge_3920,src_Natural-Object_2554
src_Secular-Leader_2336,src_Person-Role_157
src_Emperor_2437,src_Emperor_3200
src_Crime_918,src_Ship_2957
src_Life-Event_159,src_Religious-Practice_268
src_Time_1746,src_Individual_4069
src_Scientific-Instrument_1981,src_Cleric_1867
src_Artistic-Style_3839,src_Secular-Ideology_2662
src_Fictional-Person_3875,src_Armament_1443
src_Business-Leader_3807,src_Measurable-Trend_1921
src_Religious-Leader_839,src_Head-of-Government_2218
src_Movement_2162,src_Emperor_3364
src_Individual_1599,src_Battle_1755
src_Dramaturge_472,src_Geographical-Region_1477
src_Philanthropist_787,src_Head-of-State_3402
src_Religious-Community_4394,src_Sculptor_4278
src_Crime_4417,src_Monastery_893
src_Crime_4340,src_Time-Dependent_2105
src_Dynasty_1875,src_Artist_203
src_Intra-State-Group_2942,src_Trades-Unionist_44
src_Pollution_1186,src_Book_3262
src_Meeting_14,src_Trial_4292
src_Conceptual-Object_3311,src_Religious-Symbol_202
src_Military-Organisation_1942,src_Settlement_931
src_Journal_1164,src_Location-Part-Relation_2933
src_Public-Oration_1916,src_Population-Movement_1051
src_Newspaper_3094,src_International-Alliance_103
src_Cultural-Organisation_3412,src_Stereotype-Group_2385
src_Economic-Process_885,src_Trades-Union_1425
src_Event_784,src_Pollution_2741
src_Educational-Organisation_755,src_Prince_4663
src_Category_3408,src_Trial_695
src_VicodiOI_4576,src_Minister_2744
src_Public-Oration_2002,src_Location-Part-Relation_705
src_Criminal_4660,src_Population-Movement_3186
src_Politician_4154,src_Social-Group_4761
src_Ritual_3125,src_Religious-Practice_2744
src_Head-of-State_2634,src_Vehicle_1725
src_Church_627,src_Scientific-Instrument_4126
src_Ethnic-Group_1995,src_Train_2446
src_Cultural-Organisation_4467,src_Piece-of-Music_401
src_Physician_2850,src_Cleric_3367
src_International-Alliance_4457,src_Military-Organisation_2537
src_Artistic-Movement_436,src_Economic-Enterprise_1414
src_Event_3748,src_National-Symbol_4599
src_Social-Group_665,src_Newspaper_1199
src_Publisher_1253,src_Sculptor_3977
src_Artist_1580,src_Economic-Enterprise_4205
src_Piece-of-Music_215,src_Church_2907
src_Scandal_920,src_Scientific-Instrument_179
src_Artistic-Style_40,src_Measurable-Trend_4118
src_Period-in-Office_836,src_Religious-Leader_1204
src_Economic-Organisation_3062,src_Masonic-Lodge_2875
src_Educational-Organisation_312,src_Author_48
src_Crime_4987,src_Public-Oration_2198
src_Leader_3133,src_Philosopher_2912
src_Country_2033,src_Uprising_2396
src_Other-Religious-Person_4737,src_Battle_1303
src_Leader_2350,src_Diplomat_2767
src_VicodiOI_984,src_City_2680
src_Head-of-State_3313,src_Symbol_3551
src_Monastery_3131,src_Intellectual-Movement_3100
src_Sculptor_3570,src_Period-in-Office_3136
src_Representative-Institution_1764,src_Actor_4779
src_FuzzyTemporalInterval_637,src_Vehicle_2984
src_VicodiOI_1704,src_Writing_4223
src_Abstract-Notion_2623,src_Professor_2511
src_Religious-Community_2595,src_Stereotype-Group_766
src_Structure_1007,src_Foreign-Minister_1438
src_Author_511,src_Meeting_3799
src_Board_422,src_City_707
src_Discoverer_380,src_Train_593
src_Leader_3503,src_Stereotype-Group_1369
src_Sculptor_929,src_Sportsman_2665
src_Clerical-Leader_3767,src_Artist_874
src_Economic-Process_3033,src_Minister_2018
src_Church-Reformer_2965,src_Leader_590
src_Engineer_246,src_Leader_1780
src_Treaty_3187,src_Public-Oration_675
src_Economic-Process_3026,src_Building_911
src_Discoverer_2642,src_Pollution_1093
src_Category_4952,src_Political-Organisation_103
