src_Intra-State-Group_32,src_Journal_109
src_Role_387,src_Painting_261
src_Armament_411,src_Journalist_135
src_Meeting_463,src_Astronaut_52
src_Symbol_237,src_Dynasty_215
src_Conductor_494,src_Technical-Scientific-Advance_93
src_Ecclesiarch_104,src_Fictional-Person_330
src_Trial_445,src_Religious-Movement_473
src_Economic-Organisation_464,src_Political-Organisation_168
src_Liturgical-Object_382,src_Armament_346
src_Intra-State-Group_427,src_Queen_437
src_Legislation_358,src_Economic-Process_304
src_Creator_167,src_Sultan_336
src_Actor_349,src_League_307
src_City_61,src_Train_398
src_Clerical-Leader_254,src_Professor_422
src_Building_289,src_King_18
src_Organisation_341,src_Relic_325
src_Musician_69,src_Intellectual-Construct_372
src_Conductor_363,src_Geographical-Feature_272
src_Professor_269,src_Intra-State-Group_397
src_Sculpture_30,src_Organisation_202
src_Sportsman_438,src_Movement_240
src_Trial_147,src_Emperor_3
src_Trial_341,src_Location_360
src_Minister_237,src_Vehicle_181
src_Dancer_307,src_Psychologist_251
src_Event_445,src_Head-of-Government_133
src_Uprising_112,src_Secular-Ideology_420
src_Professor_185,src_Pamphlet_487
src_Inventor_201,src_Criminal_185
src_Functionary_395,src_Social-Stratum_453
src_Geographical-Feature_491,src_Religious-Ideology_412
src_Structure_369,src_Uprising_40
src_Country_243,src_Foreign-Minister_18
src_Geographer_372,src_Stereotype-Group_479
src_Village_102,src_Party_87
src_Military-Organisation_207,src_Liturgical-Object_345
src_City_57,src_Village_19
src_Social-Stratum_431,src_Disease_162
src_War_440,src_Geographical-Discovery_136
src_Badge_50,src_Disaster_378
src_Stereotype-Group_263,src_Language_29
src_Intra-State-Group_202,src_Measurable-Trend_101
src_Emperor_429,src_Symbol_456
src_Other-Religious-Person_452,src_Politician_368
src_Secular-Leader_329,src_Astronaut_460
src_Settlement_447,src_Board_234
src_Settlement_398,src_Military-Unit_215
src_Engineer_436,src_Religious-Organisation_324
src_Artistic-Style_2,src_Head-of-State_256
src_Entertainer_473,src_Sculptor_391
src_Magnate_252,src_Symbol_153
src_Functionary_96,src_Religious-Ideology_302
src_Scientific-Instrument_348,src_Economic-Organisation_158
src_Event_58,src_Geographical-Region_492
src_Meeting_258,src_Military-Organisation_428
src_Commodity_223,src_Military-Person_114
src_Illness_248,src_Ritual_463
src_Language_30,src_Inventor_350
src_Period-in-Office_107,src_Political-Region_396
src_Fictional-Event_450,src_Cultural-Agreement_144
src_Public-Oration_395,src_Entertainer_151
src_Liturgical-Object_321,src_Art-Form_373
src_Role_29,src_Fictional-Person_29
src_Illness_270,src_Commodity_39
src_Building_170,src_Treaty_122
src_Time-Dependent-Relation_160,src_National-Symbol_338
src_Pastime_322,src_Train_107
src_City_211,src_Professor_421
src_Environment_235,src_Scientist_197
src_Scandal_312,src_Head-of-State_364
src_Landmark_346,src_Location-Part-Relation_448
src_Painting_161,src_Sculptor_251
src_Cleric_62,src_Vehicle_41
src_Clothing_44,src_Secular-Ideology_342
src_Geographical-Discovery_330,src_Building_152
src_Diplomat_371,src_Secular-Movement_455
src_Badge_89,src_Pope_154
src_King_150,src_Geographical-Region_390
src_Life-Event_289,src_Period_475
src_Actor_102,src_Secular-Ideology_411
src_Discoverer_38,src_Natural-Object_84
src_Pastime_338,src_Composer_490
src_Disaster_9,src_Dynasty_170
src_Pope_25,src_Functionary_366
src_Idea_87,src_Journalist_88
src_Pastime_144,src_Entertainer_335
src_Abbey_294,src_Religious-Movement_389
src_Uprising_99,src_Artistic-Movement_375
src_Emperor_28,src_Inventor_343
src_Church_157,src_Secular-Leader_283
src_Theologian_409,src_Head-of-Government_469
src_Flavour_30,src_Artist_407
src_Public-Oration_183,src_Cathedral_485
src_Religious-Organisation_322,src_Book_305
src_Art-Form_425,src_Artistic-Style_290
src_Other-Religious-Leader_244,src_Geographical-Region_62
src_University_230,src_Architect_274
src_International-Organisation_290,src_Settlement_365
src_Relic_369,src_Social-Stratum_336
src_Illness_405,src_Geographical-Feature_185
src_Representative-Institution_480,src_Cultural-Agreement_192
src_Educational-Organisation_435,src_Sculptor_187
src_Movement_350,src_Ritual_69
src_Measurable-Trend_263,src_Flavour_177
src_Water_307,src_Architect_321
src_Artefact_329,src_Fictional-Person_51
src_Leader_93,src_Religious-Leader_445
src_Work-of-Art_495,src_Other-Religious-Person_433
src_Economic-Symbol_222,src_Author_196
src_Military-Person_260,src_Battle_303
src_Geographical-Discovery_330,src_Religious-Symbol_280
src_Secular-Movement_414,src_Governmental-Organisation_367
src_Landmark_444,src_Pastime_393
src_Church_157,src_Social-Group_382
src_Artefact_349,src_Conductor_175
src_Political-Region_412,src_Author_87
src_Religious-Leader_262,src_Building_463
src_Train_257,src_Religious-Organisation_201
src_Scandal_480,src_Conceptual-Object_54
src_Leader_17,src_Election_257
src_Discoverer_7,src_Public-Oration_456
src_Theologian_323,src_Head-of-State_297
src_Queen_61,src_Landmark_290
src_Religious-Ideology_108,src_Category_134
src_Flavour_126,src_Settlement_224
src_Country_377,src_Trades-Unionist_142
src_Magnate_344,src_Person_455
src_Population-Movement_334,src_Religious-Community_250
src_Economic-Process_394,src_Flavour_207
src_Idea_414,src_Building_97
src_Trade-Association_326,src_Country_422
src_Religious-Practice_6,src_Technical-Scientific-Advance_70
src_Treaty_456,src_Work-of-Art_294
src_Cultural-Agreement_345,src_Queen_78
src_Sportsman_206,src_Public-Oration_235
src_Journalist_359,src_Entertainer_355
src_Food_411,src_Object_26
src_Secular-Leader_320,src_Composer_433
src_Architect_466,src_Prince_19
src_Architect_227,src_Sportsman_364
src_Governmental-Organisation_263,src_Symbol_311
src_Religious-Order_177,src_Location_464
src_Trial_358,src_University_394
src_Conceptual-Object_124,src_Population-Movement_75
src_Natural-Object_120,src_Diplomat_42
src_Psychologist_435,src_National-Symbol_178
src_Symbol_15,src_Journalist_193
src_Composer_166,src_Location-Part-Relation_84
src_Fictional-Event_299,src_Role_358
src_Geographical-Feature_208,src_Trades-Unionist_85
src_Village_52,src_Art-Form_216
src_Political-Symbol_379,src_Food_307
src_Social-Group_324,src_Social-Group_389
src_Social-Group_107,src_Prince_176
src_Trial_104,src_King_32
src_War_224,src_Landmark_293
src_Uprising_432,src_Functionary_239
src_Train_235,src_Treaty_152
src_Board_205,src_Public-Oration_313
src_Magnate_398,src_National-Symbol_114
src_Entertainer_167,src_Criminal_396
src_Engineer_493,src_Representative-Institution_314
src_Settlement_389,src_Secular-Movement_312
src_Stereotype-Group_129,src_Engineer_388
src_Artist_58,src_Religious-Movement_178
src_Inventor_161,src_Political-Organisation_250
src_Public-Oration_303,src_Ideology_165
src_Functionary_493,src_Legislation_9
src_Liturgical-Object_122,src_Piece-of-Music_72
src_Politician_73,src_Pamphlet_296
src_Astronaut_74,src_Animal_285
src_Religious-Organisation_260,src_Philosopher_424
src_Scientific-Instrument_353,src_Functionary_479
src_Writing_332,src_Natural-Object_130
src_Engineer_140,src_Non-Military-Conflict_56
src_Liturgical-Object_153,src_Crime_152
src_Book_7,src_Magnate_259
src_Symbol_451,src_Organisation_67
src_Magnate_300,src_University_347
src_Monastery_183,src_Newspaper_126
src_Food_62,src_Sportsman_2
src_Religious-Movement_205,src_Military-Person_36
src_Trades-Union_471,src_Disease_190
src_Technical-Scientific-Advance_470,src_Work-of-Art_458
src_Religious-Movement_420,src_Life-Event_375
src_Scientist_258,src_Creator_195
src_Secular-Leader_333,src_Painter_190
src_Clothing_155,src_Writing_329
src_Religious-Symbol_180,src_Settlement_339
src_Abbey_347,src_Period-in-Office_494
src_Religious-Symbol_92,src_Stereotype-Group_279
src_Author_404,src_Environment_499
src_Religious-Practice_452,src_Person-Role_162
src_FuzzyTemporalInterval_287,src_Conceptual-Object_407
src_Religious-Community_479,src_Social-Stratum_354
src_Trial_23,src_Badge_218
src_Geographical-Discovery_174,src_International-Organisation_438
src_Theologian_404,src_Meeting_10
src_Magnate_232,src_Social-Stratum_403
src_Abstract-Notion_186,src_Ecclesiarch_368
src_Movement_43,src_Life-Event_290
src_Structure_281,src_Religious-Practice_179
src_Political-Symbol_177,src_Intellectual-Movement_223
src_Artefact_25,src_Cultural-Agreement_236
src_Location_307,src_VicodiOI_147
src_Person_273,src_Other-Religious-Person_188
src_Philosopher_81,src_Theologian_230
src_Economist_357,src_Building_313
src_Dynasty_345,src_Political-Organisation_353
src_Religious-Leader_402,src_University_88
src_Geographical-Region_191,src_Disaster_201
src_Water_281,src_Idea_256
src_University_112,src_Artefact_114
src_Stereotype-Group_177,src_Natural-Object_37
src_Political-Region_421,src_Trial_325
src_Relic_89,src_Inventor_5
src_Minister_478,src_Person-Role_129
src_Life-Event_15,src_Artistic-Style_454
src_Head-of-State_117,src_War_185
src_Economist_145,src_Disease_197
src_Intellectual-Movement_62,src_Economic-Organisation_367
src_Clerical-Leader_342,src_Ritual_256
src_Sultan_347,src_Prince_350
src_Prince_253,src_Business-Leader_377
src_Magnate_2,src_Object_233
src_Period_235,src_Abbey_156
src_Head-of-Government_296,src_Military-Unit_137
src_Artist_299,src_Geographical-Feature_276
src_Organisation_38,src_Artistic-Movement_138
src_Ecclesiarch_245,src_Leader_278
src_Party_90,src_Discoverer_326
src_Religious-Movement_166,src_Object_476
src_Geographer_374,src_Secular-Leader_472
src_Role_244,src_Individual_335
src_Dramaturge_134,src_Religious-Community_390
src_Building_355,src_Clothing_149
src_Idea_102,src_Pamphlet_71
src_Flavour_249,src_Philanthropist_343
src_International-Organisation_333,src_Field-of-Knowledge_21
src_Environment_75,src_Religious-Community_207
src_Piece-of-Music_81,src_Pamphlet_256
src_Jurist_483,src_Meeting_58
src_Military-Unit_337,src_Fictional-Event_28
src_Country_87,src_Jurist_275
src_Religious-Leader_408,src_Military-Organisation_175
src_Crime_208,src_Geographical-Feature_418
src_VicodiOI_125,src_Painter_100
src_Social-Group_85,src_Dancer_33
src_Artistic-Movement_151,src_Piece-of-Music_360
src_Inventor_103,src_Ethnic-Group_302
src_Military-Person_191,src_Pastime_108
src_Animal_193,src_Person_142
src_Cultural-Agreement_107,src_Economic-Process_212
src_Leader_15,src_Economist_175
src_TemporalInterval_491,src_Religious-Leader_53
src_Representative-Institution_416,src_Economist_307
src_Art-Form_136,src_Scientific-Instrument_435
src_Religious-Order_41,src_Natural-Object_414
src_Dancer_374,src_Jurist_108
src_Actor_221,src_Governmental-Organisation_451
src_Painting_39,src_Emperor_431
src_Food_369,src_Environment_123
src_Other-Religious-Leader_436,src_Criminal_389
src_International-Alliance_395,src_Battle_284
src_Ideology_284,src_National-Symbol_175
src_Newspaper_213,src_Settlement_447
src_Location-Part-Relation_54,src_Trade-Association_18
src_Physician_81,src_Piece-of-Music_250
src_Church-Reformer_260,src_Philanthropist_28
src_Fictional-Person_87,src_Trades-Unionist_334
src_Relic_146,src_Art-Form_457
src_Economic-Process_456,src_Religious-Order_41
src_Period_75,src_Economist_475
src_Foreign-Minister_362,src_Stereotype-Group_252
src_Governmental-Organisation_101,src_Economic-Organisation_296
src_Treaty_19,src_Philanthropist_458
src_Professor_71,src_Trades-Union_264
src_Work-of-Art_325,src_Head-of-State_103
src_Military-Unit_495,src_Astronaut_375
src_Discoverer_488,src_Journalist_485
src_Religious-Leader_446,src_Public-Oration_311
src_Inventor_406,src_Sculptor_406
src_Population-Movement_476,src_Saint_380
src_Intellectual-Movement_379,src_Abbey_64
src_Church-Reformer_327,src_Train_497
src_Disaster_62,src_Liturgical-Object_114
src_Abstract-Notion_474,src_Time-Dependent-Relation_49
src_Intellectual-Construct_262,src_Writing_121
src_Head-of-Government_135,src_Composer_299
src_Criminal_258,src_Time_417
src_Church-Reformer_348,src_Field-of-Knowledge_64
src_Trades-Unionist_179,src_Disaster_467
src_Ethnic-Group_379,src_Social-Group_488
src_National-Symbol_224,src_City_389
src_Economic-Enterprise_151,src_Clerical-Leader_285
src_Secular-Leader_216,src_Artistic-Movement_317
src_TemporalInterval_408,src_Scientific-Instrument_23
src_Person-Role_217,src_Secular-Leader_167
src_Language_52,src_Pamphlet_466
src_Dynasty_456,src_Election_163
src_Political-Region_489,src_Artist_358
