src_Settlement_442,src_Head-of-State_270
src_Sultan_454,src_Magnate_156
src_Functionary_362,src_Vehicle_221
src_Time_257,src_Object_67
src_Language_325,src_Political-Region_196
src_Party_72,src_Train_250
src_Governmental-Organisation_417,src_Non-Military-Conflict_330
src_International-Alliance_397,src_Journal_69
src_Ideology_427,src_Business-Leader_181
src_Person_119,src_Professor_405
src_Discoverer_195,src_Religious-Symbol_52
src_Composer_462,src_Geographical-Region_77
src_Period-in-Office_167,src_Landmark_433
src_Engineer_354,src_Piece-of-Music_75
src_Head-of-State_438,src_Fictional-Event_400
src_Economic-Organisation_407,src_Engineer_91
src_Painting_455,src_Philosopher_222
src_Conductor_100,src_Politician_43
src_Religious-Movement_216,src_Artistic-Movement_459
src_Vehicle_410,src_Social-Group_276
src_Geographer_37,src_Religious-Leader_464
src_Prince_483,src_Piece-of-Music_373
src_Church_376,src_Illness_392
src_Train_61,src_Time-Dependent_267
src_Newspaper_112,src_Dynasty_410
src_Settlement_370,src_Philanthropist_384
src_Party_100,src_Period_65
src_Pamphlet_211,src_Trades-Unionist_467
src_Painting_155,src_Sculpture_99
src_Painter_11,src_Commodity_277
src_Population-Movement_95,src_Structure_487
src_International-Organisation_382,src_Monastery_438
src_Non-Military-Conflict_148,src_Train_430
src_Time-Dependent-Relation_148,src_Pastime_148
src_Leader_332,src_Illness_48
src_Fictional-Person_446,src_Landmark_11
src_Symbol_389,src_International-Alliance_327
src_Technical-Scientific-Advance_297,src_Jurist_7
src_Intellectual-Construct_468,src_Politician_155
src_Dynasty_179,src_Artefact_320
src_Uprising_13,src_Party_304
src_Prince_15,src_Person-Role_356
src_Film-Maker_190,src_FuzzyTemporalInterval_259
src_Functionary_406,src_Armament_28
src_Intellectual-Movement_307,src_Inventor_109
src_Functionary_90,src_Movement_58
src_Crime_185,src_Newspaper_89
src_City_52,src_Foreign-Minister_72
src_Secular-Ideology_317,src_Diplomat_162
src_Military-Unit_147,src_War_447
src_Philanthropist_315,src_Sultan_230
src_Sculptor_484,src_Physician_153
src_Environment_402,src_Water_487
src_Legislation_122,src_Time_379
src_Time-Dependent-Relation_172,src_Scandal_70
src_Masonic-Lodge_125,src_Religious-Practice_346
src_Geographical-Feature_451,src_Water_410
src_Commodity_144,src_Economic-Process_26
src_Head-of-Government_44,src_Battle_45
src_Functionary_248,src_Vehicle_150
src_Non-Military-Conflict_216,src_Secular-Leader_103
src_Painting_24,src_Category_25
src_Educational-Organisation_327,src_Pamphlet_464
src_Conceptual-Object_413,src_Sultan_32
src_Foreign-Minister_479,src_Artist_282
src_Theologian_185,src_Landmark_236
src_Religious-Movement_136,src_Clothing_36
src_Intellectual-Construct_457,src_Secular-Leader_40
src_Discoverer_127,src_Abstract-Notion_463
src_Cathedral_41,src_Emperor_305
src_Church_112,src_Intellectual-Movement_76
src_Object_8,src_Fictional-Person_291
src_Social-Stratum_222,src_Ideology_48
src_Functionary_3,src_Secular-Ideology_390
src_King_311,src_Religious-Community_479
src_Cathedral_84,src_Pollution_210
src_Measurable-Trend_342,src_TemporalInterval_321
src_Head-of-State_188,src_Category_14
src_Natural-Object_370,src_Church_479
src_Cultural-Organisation_124,src_Ship_486
src_Idea_374,src_Symbol_162
src_Business-Leader_233,src_King_192
src_City_437,src_Clothing_130
src_Ethnic-Group_309,src_Uprising_305
src_Sculpture_349,src_Building_476
src_Artefact_451,src_Educational-Organisation_457
src_Train_50,src_Head-of-Government_283
src_Liturgical-Object_375,src_Period_54
src_Ritual_493,src_VicodiOI_67
src_Public-Oration_476,src_Film-Maker_29
src_Artefact_414,src_Geographical-Feature_77
src_Cleric_335,src_International-Alliance_449
src_Clerical-Leader_436,src_Composer_199
src_Period_112,src_Clothing_389
src_Astronaut_458,src_Writing_306
src_Cleric_389,src_Inventor_374
src_TemporalInterval_458,src_Flavour_266
src_Vehicle_180,src_Economic-Process_377
src_Abstract-Notion_119,src_Sportsman_284
src_Engineer_15,src_Vehicle_41
src_Idea_160,src_Abstract-Notion_312
src_Church-Reformer_287,src_Trades-Unionist_119
src_Person-Role_360,src_Settlement_466
src_Animal_360,src_Intellectual-Construct_316
src_Election_485,src_Dynasty_289
src_Period_8,src_Secular-Leader_146
src_Governmental-Organisation_451,src_Religious-Symbol_191
src_Environment_53,src_Scandal_150
src_Party_67,src_Diplomat_230
src_Painter_353,src_Settlement_178
src_Pollution_254,src_Functionary_25
src_TemporalInterval_250,src_Idea_188
src_Actor_46,src_Commodity_239
src_Discoverer_109,src_Emperor_481
src_Vehicle_273,src_Location-Part-Relation_210
src_Discoverer_220,src_Governmental-Organisation_103
src_Monastery_151,src_Person_292
src_Symbol_334,src_Geographical-Region_187
src_Journal_462,src_Badge_222
src_Pastime_319,src_Location_491
src_Author_373,src_Foreign-Minister_3
src_Commodity_51,src_Leader_148
src_Minister_423,src_Monastery_37
src_Cathedral_133,src_Clerical-Leader_400
src_Politician_127,src_Scientific-Instrument_140
src_Artistic-Movement_130,src_Event_50
src_Economic-Organisation_483,src_University_436
src_League_137,src_Conceptual-Object_236
src_Food_370,src_Philanthropist_51
src_Time_417,src_Time-Dependent_147
src_Economic-Enterprise_348,src_Economic-Process_396
src_Flavour_172,src_Religious-Community_159
src_Jurist_259,src_Intellectual-Construct_349
src_Cultural-Organisation_296,src_Church_489
src_Movement_161,src_Cultural-Agreement_197
src_Economist_314,src_Political-Organisation_380
src_Ethnic-Group_202,src_Painter_474
src_Liturgical-Object_16,src_Water_437
src_Engineer_373,src_Functionary_451
src_Fictional-Person_88,src_Water_41
src_Abbey_11,src_Criminal_431
src_Educational-Organisation_369,src_Treaty_327
src_Symbol_421,src_Technical-Scientific-Advance_284
src_Pastime_138,src_Other-Religious-Leader_487
src_Scandal_104,src_International-Alliance_380
src_Intra-State-Group_248,src_Scientific-Instrument_443
src_Vehicle_148,src_Psychologist_115
src_Artefact_146,src_Flavour_409
src_Head-of-State_427,src_Scandal_426
src_Religious-Community_408,src_Fictional-Person_426
src_Philosopher_9,src_Building_308
src_Economic-Organisation_355,src_Other-Religious-Person_300
src_Settlement_168,src_Economic-Enterprise_69
src_Discoverer_492,src_Head-of-State_180
src_Geographical-Feature_119,src_Criminal_298
src_Disaster_286,src_Legislation_452
src_Political-Organisation_64,src_Animal_321
src_Treaty_158,src_Badge_291
src_Natural-Object_223,src_Religious-Movement_299
src_Location_26,src_Secular-Leader_27
src_Intellectual-Movement_90,src_Cleric_77
src_Church_45,src_Church-Reformer_313
