src_Settlement_0,src_Dynasty_447
src_Religious-Ideology_31,src_Cathedral_310
src_Book_224,src_Landmark_64
src_Church_52,src_Public-Oration_255
src_Writing_83,src_Geographer_94
src_Cathedral_149,src_Sculpture_320
src_Writing_209,src_Measurable-Trend_412
src_Environment_134,src_Foreign-Minister_403
src_Film-Maker_231,src_Time_269
src_Crime_470,src_Religious-Organisation_297
src_Church-Reformer_17,src_Trial_443
src_Religious-Order_289,src_International-Alliance_380
src_Uprising_61,src_Election_476
src_Psychologist_163,src_Intellectual-Construct_157
src_Philanthropist_206,src_Pamphlet_492
src_FuzzyTemporalInterval_329,src_Armament_141
src_Commodity_315,src_Astronaut_33
src_Philanthropist_33,src_Scandal_168
src_Dramaturge_400,src_Period-in-Office_337
src_Field-of-Knowledge_348,src_Liturgical-Object_17
src_Economic-Organisation_14,src_Engineer_251
src_Food_189,src_Illness_63
src_Engineer_153,src_Physician_230
src_Individual_496,src_Journal_382
src_Economic-Organisation_110,src_Environment_424
src_Composer_133,src_Election_246
src_Ship_359,src_Public-Oration_476
src_Object_424,src_Church_450
src_Artistic-Style_19,src_Water_444
src_Head-of-Government_16,src_Secular-Leader_490
src_Management-Organisation_40,src_Stereotype-Group_247
src_Crime_294,src_Journalist_166
src_Treaty_99,src_Landmark_126
src_Social-Stratum_309,src_Dramaturge_420
src_Technical-Scientific-Advance_4,src_Relic_403
src_Commodity_406,src_FuzzyTemporalInterval_21
src_Person_109,src_Vehicle_325
src_Symbol_91,src_Magnate_203
src_Artistic-Style_137,src_Scientist_449
src_Painter_296,src_Saint_112
src_Piece-of-Music_483,src_Intellectual-Movement_460
src_Idea_466,src_Book_353
src_FuzzyTemporalInterval_453,src_Badge_49
src_International-Organisation_253,src_Category_163
src_Commodity_391,src_Painter_123
src_Idea_67,src_Astronaut_102
src_Battle_155,src_Period-in-Office_5
src_Artefact_358,src_Trial_348
src_Church_108,src_Social-Stratum_356
src_Other-Religious-Leader_464,src_Party_98
src_Illness_437,src_Field-of-Knowledge_472
src_Dramaturge_86,src_Fictional-Person_403
src_Professor_257,src_Stereotype-Group_75
src_Philanthropist_179,src_Inventor_98
src_Abstract-Notion_66,src_Masonic-Lodge_375
src_Leader_148,src_Ship_447
src_Philanthropist_292,src_City_444
src_Water_275,src_Artistic-Style_302
src_Public-Oration_289,src_Church-Reformer_431
src_Trade-Association_341,src_Management-Organisation_207
src_Uprising_319,src_Train_495
src_Trades-Unionist_149,src_Organisation_443
src_Commodity_407,src_Illness_116
src_Village_433,src_League_121
src_Head-of-State_481,src_Location-Part-Relation_358
src_Discoverer_86,src_Musician_282
src_King_491,src_Field-of-Knowledge_78
src_Battle_209,src_Battle_331
src_Train_229,src_Economic-Organisation_49
src_Time-Dependent-Relation_302,src_Film-Maker_298
src_Cleric_300,src_Sculptor_242
src_Stereotype-Group_470,src_Social-Stratum_57
src_Work-of-Art_145,src_Building_128
src_Abbey_46,src_Object_113
src_Church_32,src_Cleric_285
src_Writing_424,src_Political-Region_288
src_International-Alliance_192,src_Secular-Leader_479
src_Cultural-Organisation_426,src_Painting_323
src_Religious-Order_215,src_Trial_254
src_Queen_298,src_Foreign-Minister_496
src_Piece-of-Music_407,src_Management-Organisation_320
src_Environment_230,src_Economic-Enterprise_200
src_Language_157,src_Cultural-Agreement_100
src_Fictional-Person_379,src_Organisation_301
src_Economic-Process_394,src_Non-Military-Conflict_3
src_Astronaut_328,src_Ritual_417
src_Trade-Association_454,src_Other-Religious-Leader_129
src_Political-Symbol_46,src_Intellectual-Construct_297
src_Geographical-Region_483,src_Diplomat_468
src_Natural-Object_271,src_Symbol_179
src_Prince_121,src_Relic_62
src_Religious-Practice_13,src_Conceptual-Object_183
src_Battle_485,src_Economist_107
src_Queen_353,src_Economic-Enterprise_337
src_Ship_199,src_Animal_81
src_Abstract-Notion_234,src_Badge_9
src_Structure_14,src_War_106
src_Cultural-Agreement_337,src_Idea_165
src_Engineer_312,src_Intra-State-Group_21
src_Sculptor_404,src_Conceptual-Object_198
src_Ecclesiarch_340,src_Other-Religious-Leader_49
src_Crime_385,src_Artistic-Style_402
src_International-Alliance_281,src_Economist_280
src_Armament_141,src_Musician_259
src_Astronaut_138,src_International-Alliance_388
src_Religious-Order_439,src_Masonic-Lodge_266
src_Religious-Order_390,src_Head-of-Government_456
src_King_96,src_Creator_105
src_Military-Person_483,src_Monastery_127
src_Saint_311,src_Category_45
src_Water_341,src_Artefact_236
src_Individual_120,src_Social-Group_112
src_League_173,src_Sculptor_364
src_Legislation_390,src_Structure_31
src_Educational-Organisation_423,src_City_191
src_Stereotype-Group_35,src_Queen_24
src_Social-Stratum_430,src_Journalist_343
src_Physician_272,src_Physician_225
src_Illness_53,src_Trades-Union_499
src_Philosopher_379,src_Criminal_7
src_Village_474,src_Measurable-Trend_344
src_Actor_326,src_Flavour_344
src_Sculpture_488,src_Settlement_22
src_Battle_67,src_Election_388
src_Organisation_38,src_Treaty_148
src_Trades-Union_35,src_Sculptor_115
src_Cathedral_346,src_Painting_23
src_Time-Dependent-Relation_301,src_FuzzyTemporalInterval_385
src_Animal_365,src_Movement_215
src_Church_250,src_Public-Oration_332
src_Ethnic-Group_151,src_National-Symbol_438
src_Monastery_268,src_Intellectual-Construct_29
src_Church_401,src_Liturgical-Object_205
src_Life-Event_82,src_Head-of-Government_334
src_Cultural-Organisation_469,src_Political-Organisation_346
src_Business-Leader_239,src_King_61
src_Organisation_30,src_Symbol_284
src_Religious-Leader_368,src_Head-of-State_351
src_Ideology_330,src_Musician_401
src_Criminal_40,src_Field-of-Knowledge_278
src_Structure_21,src_Clothing_416
src_Cathedral_131,src_Book_491
src_Landmark_433,src_Disease_378
src_Jurist_453,src_Crime_400
src_Trial_249,src_Political-Region_201
src_Ethnic-Group_453,src_Economic-Enterprise_151
src_Period_176,src_Geographical-Discovery_468
src_Landmark_409,src_Magnate_464
src_Symbol_425,src_Social-Group_244
src_Person-Role_82,src_Piece-of-Music_462
src_Field-of-Knowledge_162,src_Ideology_209
src_Ideology_354,src_Clothing_161
src_Trades-Union_226,src_Fictional-Event_37
src_Book_72,src_Category_293
src_Commodity_393,src_Dancer_319
src_National-Symbol_163,src_Food_86
src_VicodiOI_57,src_Film-Maker_49
src_Organisation_28,src_Ship_194
src_Pope_220,src_Inventor_230
src_Sportsman_215,src_Queen_313
src_Social-Group_114,src_Engineer_396
src_Governmental-Organisation_459,src_Discoverer_376
src_Pastime_177,src_Technical-Scientific-Advance_50
src_Cultural-Organisation_396,src_Politician_349
src_Liturgical-Object_401,src_Period_39
src_Life-Event_161,src_Author_455
src_Trade-Association_428,src_Dynasty_268
src_National-Symbol_476,src_Event_464
src_Jurist_240,src_TemporalInterval_186
src_Measurable-Trend_66,src_Film-Maker_93
src_Discoverer_437,src_Structure_137
src_Crime_318,src_Politician_60
src_Natural-Object_149,src_Military-Unit_317
src_League_269,src_Intellectual-Movement_218
src_Representative-Institution_484,src_Election_289
src_Event_52,src_Trades-Union_405
src_Sculpture_420,src_Fictional-Event_322
src_Person_423,src_Board_159
src_Natural-Object_135,src_Criminal_441
src_Country_341,src_Geographer_480
src_Astronaut_290,src_Location-Part-Relation_349
src_Dynasty_443,src_Scientist_171
src_Stereotype-Group_258,src_Ship_152
src_Technical-Scientific-Advance_264,src_Landmark_37
src_Management-Organisation_234,src_Fictional-Event_42
src_Party_244,src_Social-Stratum_11
src_Legislation_325,src_War_472
src_War_282,src_Newspaper_164
src_Battle_442,src_Political-Region_166
src_Conductor_283,src_Social-Group_125
src_Actor_136,src_Role_145
src_Conductor_299,src_War_291
src_Work-of-Art_70,src_Period_441
src_Flavour_325,src_Foreign-Minister_288
src_VicodiOI_338,src_Armament_147
src_Individual_477,src_Astronaut_185
src_Composer_467,src_Foreign-Minister_216
src_Event_351,src_Diplomat_109
src_Foreign-Minister_248,src_Scientist_224
src_Disease_115,src_Time-Dependent_435
src_Landmark_300,src_Religious-Practice_87
src_Engineer_223,src_Religious-Community_324
src_Abstract-Notion_426,src_National-Symbol_471
src_Ritual_226,src_Fictional-Event_474
