src_Event_157,src_Party_168
src_Representative-Institution_442,src_Natural-Object_196
src_Settlement_355,src_Psychologist_235
src_Person_47,src_Scientist_324
src_Event_423,src_Creator_453
src_Religious-Order_358,src_Management-Organisation_329
src_Individual_79,src_Book_381
src_Legislation_376,src_Business-Leader_68
src_Disease_481,src_Social-Stratum_56
src_Disease_490,src_Painting_73
src_Sportsman_494,src_Conductor_62
src_Public-Oration_447,src_Theologian_395
src_Person-Role_7,src_Population-Movement_336
src_Trial_489,src_Religious-Leader_13
src_Period-in-Office_76,src_Election_379
src_Building_260,src_Clerical-Leader_163
src_Emperor_147,src_Artistic-Style_391
src_Artistic-Style_100,src_Religious-Movement_77
src_Religious-Ideology_12,src_Prince_284
src_Publisher_289,src_Commodity_254
src_Animal_4,src_Disaster_213
src_Emperor_122,src_Representative-Institution_438
src_Disaster_188,src_Philanthropist_391
src_Field-of-Knowledge_396,src_Geographical-Feature_172
src_Political-Organisation_404,src_Governmental-Organisation_313
src_Train_374,src_Location-Part-Relation_140
src_Film-Maker_277,src_Painter_39
src_Geographical-Feature_24,src_Illness_430
src_Foreign-Minister_313,src_Architect_382
src_Astronaut_294,src_Foreign-Minister_353
src_Dancer_0,src_Dramaturge_45
src_Intellectual-Movement_143,src_Musician_352
src_Political-Region_471,src_Theologian_266
src_Writing_60,src_Military-Organisation_295
src_International-Organisation_410,src_Political-Symbol_26
src_Legislation_49,src_Political-Symbol_375
src_Author_294,src_Trial_52
src_Abbey_344,src_Role_441
src_Musician_157,src_Diplomat_93
src_Period-in-Office_398,src_Cleric_451
src_Badge_403,src_Artistic-Style_459
src_Environment_163,src_Fictional-Person_118
src_War_389,src_Military-Unit_36
src_Artistic-Movement_283,src_Religious-Community_296
src_Social-Group_224,src_Economist_227
src_Dancer_485,src_Religious-Symbol_439
src_Religious-Organisation_284,src_Leader_47
src_Religious-Practice_485,src_Professor_392
src_Organisation_70,src_Time-Dependent_154
src_Painting_83,src_Representative-Institution_176
src_Emperor_464,src_Armament_175
src_Idea_191,src_Geographical-Region_430
src_Religious-Practice_365,src_Trades-Union_283
src_Physician_257,src_Intellectual-Movement_387
src_Country_303,src_Sultan_219
src_Work-of-Art_232,src_Military-Organisation_443
src_Role_99,src_Secular-Movement_320
src_Pollution_92,src_Natural-Object_62
src_Scientist_273,src_Film-Maker_338
src_Composer_65,src_Economic-Organisation_132
src_Book_335,src_Military-Unit_165
src_Architect_359,src_Sculpture_379
src_Emperor_36,src_TemporalInterval_134
src_Journalist_222,src_Artefact_245
src_Meeting_347,src_Governmental-Organisation_498
src_Astronaut_209,src_Period_187
src_Inventor_458,src_Armament_496
src_Movement_117,src_Church_411
src_Conductor_341,src_Art-Form_379
src_Religious-Organisation_444,src_Economic-Organisation_290
src_Fictional-Person_210,src_Ship_378
src_Time-Dependent-Relation_288,src_Conductor_98
src_Person-Role_40,src_Pamphlet_6
src_Educational-Organisation_451,src_Settlement_164
src_Person_74,src_Conductor_223
src_Trades-Unionist_298,src_Person_426
src_Movement_475,src_Religious-Leader_115
src_Sultan_44,src_Educational-Organisation_282
src_Functionary_229,src_Journalist_424
src_Board_121,src_Writing_333
src_Discoverer_35,src_Conceptual-Object_93
src_Uprising_69,src_Party_448
src_Foreign-Minister_273,src_Discoverer_278
src_Cultural-Agreement_484,src_Animal_486
src_Religious-Leader_361,src_Military-Organisation_339
src_Secular-Leader_126,src_Event_20
src_Technical-Scientific-Advance_61,src_Trades-Unionist_236
src_Economist_70,src_Pamphlet_482
src_Movement_213,src_Religious-Symbol_388
src_Landmark_332,src_Time-Dependent-Relation_420
src_National-Symbol_124,src_Population-Movement_493
src_Village_185,src_Geographical-Feature_398
src_Measurable-Trend_319,src_Astronaut_188
src_Diplomat_211,src_Educational-Organisation_299
src_Psychologist_347,src_Abbey_127
src_Time_223,src_Religious-Organisation_438
src_Psychologist_113,src_Structure_289
src_Fictional-Event_388,src_Country_320
src_Dramaturge_81,src_Food_255
src_Architect_351,src_Church_487
src_Monastery_182,src_Commodity_339
src_Sculpture_170,src_Foreign-Minister_19
