src_Object_305,src_Ethnic-Group_139
src_Actor_291,src_Painter_382
src_Period-in-Office_127,src_Life-Event_155
src_Fictional-Person_221,src_Church_397
src_King_423,src_Meeting_218
src_Time_388,src_Intra-State-Group_247
src_Disease_31,src_Scandal_392
src_Structure_395,src_Field-of-Knowledge_116
src_Religious-Movement_243,src_Religious-Ideology_34
src_Ship_225,src_TemporalInterval_60
src_VicodiOI_56,src_Geographical-Region_149
src_Non-Military-Conflict_464,src_Dancer_350
src_Intellectual-Construct_308,src_Economic-Symbol_338
src_Intellectual-Construct_286,src_Artistic-Movement_162
src_Social-Stratum_189,src_Sportsman_360
src_Person-Role_424,src_Cultural-Agreement_408
src_Artist_391,src_Election_476
src_Trial_176,src_Religious-Movement_161
src_Monastery_105,src_Author_184
src_Social-Stratum_125,src_Trade-Association_84
src_Economic-Process_268,src_Psychologist_435
src_Period_359,src_Disease_439
src_Artistic-Movement_145,src_Person_402
src_Governmental-Organisation_441,src_Trades-Union_349
src_Politician_245,src_Country_350
src_Physician_32,src_Trades-Union_466
src_Entertainer_288,src_Clothing_350
src_Election_27,src_Geographical-Region_55
src_Social-Group_49,src_Geographical-Discovery_173
src_Philanthropist_459,src_King_225
src_Fictional-Person_298,src_Battle_322
src_Discoverer_333,src_Time-Dependent_282
src_Sportsman_225,src_Economic-Enterprise_442
src_Saint_117,src_Scientific-Instrument_499
src_Political-Organisation_387,src_Meeting_453
src_National-Symbol_135,src_Population-Movement_278
src_Trades-Union_25,src_Object_492
src_Other-Religious-Person_5,src_Author_81
src_Masonic-Lodge_239,src_Cleric_196
src_Theologian_209,src_Economic-Process_52
src_Trade-Association_435,src_Period_221
src_Village_482,src_Uprising_379
src_Other-Religious-Person_257,src_Intra-State-Group_167
src_Board_324,src_Monastery_257
src_Military-Organisation_470,src_Symbol_56
src_Artistic-Style_222,src_Environment_118
src_Jurist_90,src_Author_164
src_Sultan_41,src_Meeting_118
src_Physician_212,src_City_135
src_Business-Leader_496,src_Structure_207
src_Foreign-Minister_266,src_Business-Leader_478
src_Psychologist_307,src_Geographical-Region_30
src_Clothing_163,src_Religious-Leader_65
src_Trades-Union_342,src_Saint_473
src_Election_315,src_Intellectual-Movement_22
src_Settlement_353,src_Book_190
src_Geographer_170,src_Sportsman_372
src_Non-Military-Conflict_407,src_International-Alliance_466
src_Abstract-Notion_418,src_Landmark_28
src_King_440,src_War_350
src_Leader_64,src_Other-Religious-Leader_180
src_League_28,src_Management-Organisation_117
src_Person-Role_136,src_Dynasty_142
src_Religious-Movement_132,src_Crime_420
src_Time_303,src_Category_256
src_Inventor_406,src_Geographical-Feature_16
src_Secular-Ideology_250,src_Musician_419
src_Philanthropist_183,src_Writing_351
src_Composer_242,src_Time_27
src_Movement_29,src_Animal_3
src_Political-Symbol_82,src_Religious-Leader_396
src_Scandal_379,src_Time-Dependent-Relation_337
src_Engineer_462,src_Economist_48
src_International-Alliance_58,src_Functionary_235
src_Publisher_96,src_Clothing_10
src_Religious-Movement_499,src_Period_397
src_Composer_119,src_International-Alliance_159
src_Religious-Leader_161,src_Landmark_195
src_Theologian_186,src_Crime_352
src_Movement_413,src_Professor_260
src_Abbey_95,src_Animal_470
src_Psychologist_450,src_Painter_296
src_Language_6,src_Idea_372
src_Diplomat_353,src_Meeting_183
src_Religious-Organisation_73,src_VicodiOI_277
src_Cathedral_55,src_Liturgical-Object_480
src_Church-Reformer_199,src_Fictional-Person_178
src_Book_359,src_Geographical-Region_322
src_Clerical-Leader_334,src_Battle_15
src_Ritual_135,src_Leader_482
src_Conductor_3,src_Economic-Organisation_343
src_Water_88,src_Scandal_262
src_Religious-Organisation_291,src_Animal_231
src_Political-Organisation_128,src_Monastery_434
src_Head-of-Government_281,src_Leader_115
src_Dancer_201,src_Painter_23
src_Sportsman_20,src_Church-Reformer_216
src_Actor_461,src_Sultan_46
src_Ethnic-Group_255,src_Pollution_334
src_Sultan_461,src_Religious-Order_457
src_Economist_185,src_Stereotype-Group_42
src_Politician_0,src_Work-of-Art_354
src_Religious-Leader_296,src_Armament_61
src_Engineer_422,src_Educational-Organisation_426
src_Composer_75,src_Political-Organisation_115
src_Environment_340,src_Clerical-Leader_171
src_Religious-Practice_58,src_Clothing_133
src_Monastery_316,src_Public-Oration_389
src_Ship_271,src_Fictional-Person_451
src_Painter_94,src_Intellectual-Movement_436
src_Journalist_320,src_Astronaut_121
src_Flavour_240,src_Uprising_412
src_Board_173,src_Religious-Practice_306
src_Time_239,src_Representative-Institution_383
src_Composer_185,src_Object_19
src_Composer_96,src_Ship_150
src_Battle_305,src_Religious-Practice_0
src_Work-of-Art_7,src_Object_83
src_Pope_334,src_Painter_320
src_Sportsman_488,src_Discoverer_48
src_Leader_213,src_Clothing_31
src_Intellectual-Construct_334,src_Intellectual-Construct_2
