src_Church_137,src_Military-Organisation_482
src_Political-Organisation_89,src_Actor_412
src_Artefact_259,src_Ideology_239
src_Criminal_82,src_Idea_131
src_Writing_265,src_Badge_424
src_Ritual_369,src_Intra-State-Group_335
src_Piece-of-Music_317,src_Writing_461
src_Pastime_478,src_Secular-Leader_35
src_Inventor_165,src_Time_404
src_Sculptor_14,src_Movement_223
src_Disaster_270,src_Fictional-Event_417
src_Geographer_300,src_Masonic-Lodge_487
src_Ethnic-Group_161,src_Religious-Symbol_61
src_Stereotype-Group_475,src_Intellectual-Construct_45
src_Village_260,src_Leader_307
src_Life-Event_209,src_Food_439
src_Badge_258,src_National-Symbol_313
src_VicodiOI_331,src_Painting_66
src_Idea_494,src_Water_479
src_Fictional-Person_203,src_Scandal_471
src_Pamphlet_489,src_Movement_439
src_Symbol_344,src_Flavour_113
src_Leader_40,src_Individual_431
src_Author_470,src_Business-Leader_453
src_Population-Movement_37,src_Composer_357
src_Object_469,src_Composer_108
src_Trade-Association_184,src_Philanthropist_478
src_Illness_281,src_Pastime_120
src_Magnate_381,src_Battle_22
src_Train_272,src_Uprising_215
src_Work-of-Art_270,src_Philanthropist_165
src_Water_336,src_Religious-Community_138
src_Liturgical-Object_171,src_Saint_476
src_Ritual_480,src_Economic-Symbol_2
src_Painting_325,src_International-Organisation_160
src_Theologian_31,src_Life-Event_386
src_Philosopher_117,src_Life-Event_246
src_Party_270,src_TemporalInterval_406
src_Train_308,src_Liturgical-Object_396
src_Discoverer_481,src_Artefact_173
src_War_115,src_Dynasty_482
src_Treaty_187,src_Piece-of-Music_212
src_Magnate_230,src_Illness_30
src_Politician_200,src_Artistic-Style_152
src_Idea_226,src_Intellectual-Construct_19
src_League_347,src_Educational-Organisation_111
src_Dancer_448,src_Cultural-Agreement_342
src_Conceptual-Object_34,src_Governmental-Organisation_87
src_Individual_261,src_Village_231
src_Physician_399,src_Object_341
src_Intellectual-Movement_29,src_Foreign-Minister_121
src_Religious-Symbol_186,src_Building_114
src_Diplomat_142,src_Commodity_277
src_Politician_211,src_Flavour_377
src_Idea_436,src_Geographical-Region_478
src_Treaty_275,src_Secular-Ideology_227
src_Religious-Ideology_1,src_Minister_95
src_Newspaper_215,src_Church-Reformer_345
src_Sculptor_272,src_International-Organisation_447
src_Flavour_202,src_Book_205
src_Writing_183,src_Scandal_108
src_Idea_110,src_Commodity_93
src_Clothing_242,src_Artist_440
src_Art-Form_399,src_Business-Leader_166
src_Conductor_127,src_Professor_415
src_Scandal_89,src_Writing_25
src_Piece-of-Music_78,src_Geographical-Feature_86
src_Disease_332,src_Business-Leader_85
src_Intellectual-Construct_280,src_Religious-Movement_80
src_Conductor_19,src_Philanthropist_154
src_Magnate_361,src_Organisation_472
src_Artistic-Style_79,src_Battle_459
src_Secular-Ideology_388,src_Educational-Organisation_121
src_Foreign-Minister_234,src_Category_269
src_Educational-Organisation_435,src_FuzzyTemporalInterval_249
src_Intra-State-Group_315,src_Stereotype-Group_121
src_Period_417,src_Journal_117
src_Queen_338,src_Foreign-Minister_57
src_Religious-Order_366,src_Church_67
