src_Dancer_321,src_Location_312
src_Country_462,src_League_441
src_Church-Reformer_155,src_Newspaper_79
src_Trades-Unionist_193,src_Book_450
src_Technical-Scientific-Advance_57,src_Clothing_155
src_Fictional-Event_70,src_Non-Military-Conflict_20
src_Artistic-Movement_294,src_Psychologist_156
src_Life-Event_443,src_Psychologist_221
src_Fictional-Person_393,src_Stereotype-Group_385
src_Intellectual-Construct_368,src_Flavour_322
src_Event_117,src_National-Symbol_53
src_Leader_334,src_Organisation_172
src_Religious-Leader_92,src_Uprising_289
src_Village_272,src_Politician_62
src_University_82,src_Religious-Leader_460
src_Publisher_310,src_Economic-Organisation_25
src_Other-Religious-Person_176,src_Scandal_41
src_Artefact_492,src_Fictional-Person_346
src_Queen_163,src_Ideology_455
src_Geographical-Region_325,src_Geographical-Discovery_383
src_Political-Symbol_472,src_Emperor_291
src_Ethnic-Group_405,src_Artist_418
src_Religious-Movement_267,src_Individual_290
src_Intra-State-Group_233,src_Journal_7
src_Language_21,src_Pollution_232
src_Criminal_340,src_Religious-Ideology_26
src_Non-Military-Conflict_364,src_Non-Military-Conflict_453
src_Location_201,src_Cleric_418
src_Psychologist_311,src_Geographer_183
src_Liturgical-Object_257,src_Flavour_139
src_Person-Role_80,src_International-Alliance_494
src_Foreign-Minister_240,src_University_324
src_Measurable-Trend_208,src_Piece-of-Music_274
src_Church-Reformer_120,src_Journal_77
src_Political-Organisation_427,src_Sculpture_444
src_Ritual_439,src_Disaster_154
src_Military-Person_411,src_Journalist_212
src_Art-Form_295,src_Pope_274
src_Relic_63,src_Philanthropist_92
src_Military-Person_202,src_Economist_24
src_Painter_342,src_Animal_483
src_Foreign-Minister_85,src_Ideology_100
src_Economic-Organisation_2,src_Head-of-State_390
src_Period-in-Office_415,src_Engineer_415
src_Book_51,src_Building_322
src_Physician_153,src_Governmental-Organisation_362
src_Political-Organisation_251,src_Ship_479
src_VicodiOI_380,src_Other-Religious-Leader_6
src_Writing_161,src_Idea_319
src_Pastime_415,src_VicodiOI_251
src_Legislation_437,src_Secular-Movement_52
src_Queen_276,src_Technical-Scientific-Advance_179
src_Clothing_451,src_Location-Part-Relation_149
src_Functionary_428,src_Entertainer_315
src_Religious-Order_105,src_Cathedral_341
src_Role_493,src_Author_103
src_VicodiOI_115,src_Head-of-State_62
src_Theologian_2,src_Crime_29
src_Natural-Object_450,src_Dynasty_187
src_Stereotype-Group_87,src_King_457
src_Sportsman_347,src_Geographical-Feature_205
src_Organisation_123,src_Building_235
src_Functionary_331,src_Trial_425
src_City_275,src_Fictional-Event_66
src_Architect_275,src_Fictional-Person_440
src_VicodiOI_141,src_Language_446
src_Diplomat_150,src_Symbol_169
src_University_235,src_VicodiOI_491
src_War_212,src_Economist_146
src_Idea_444,src_Period_367
src_Magnate_99,src_Period_139
src_Language_12,src_Discoverer_196
src_Vehicle_197,src_Relic_401
src_Geographical-Region_145,src_Country_255
src_Meeting_498,src_Secular-Movement_444
src_Jurist_114,src_Philosopher_97
src_Church-Reformer_256,src_Painting_209
src_International-Organisation_40,src_Population-Movement_134
src_Head-of-State_327,src_Geographical-Region_307
src_Work-of-Art_348,src_Philosopher_356
src_Secular-Leader_477,src_Religious-Order_77
