src_Intra-State-Group_3,src_Religious-Order_22
src_Inventor_84,src_Leader_10
src_Animal_292,src_Settlement_423
src_Religious-Order_16,src_Non-Military-Conflict_450
src_Military-Person_326,src_Pamphlet_367
src_Trades-Unionist_178,src_Politician_104
src_Election_350,src_Actor_242
src_Object_164,src_Location_341
src_Pastime_89,src_Relic_198
src_Work-of-Art_409,src_Secular-Ideology_276
src_Composer_248,src_Cathedral_161
src_Political-Organisation_104,src_Artistic-Movement_102
src_Artefact_325,src_Commodity_150
src_Scientist_29,src_Artist_169
src_Film-Maker_382,src_Religious-Organisation_40
src_Piece-of-Music_481,src_Life-Event_490
src_Military-Organisation_78,src_Artist_180
src_Stereotype-Group_442,src_Journal_246
src_Sultan_109,src_Person-Role_443
src_Political-Region_142,src_Settlement_147
src_Foreign-Minister_372,src_Cleric_390
src_Religious-Order_438,src_Composer_436
src_Illness_467,src_Astronaut_3
src_Cleric_469,src_Leader_461
src_Author_272,src_Location-Part-Relation_442
src_Musician_348,src_Trades-Union_475
src_Work-of-Art_108,src_Ecclesiarch_369
src_Secular-Ideology_69,src_Other-Religious-Person_353
src_Time_243,src_Journal_210
src_Artist_458,src_Physician_261
src_Conceptual-Object_401,src_Author_77
src_Sultan_324,src_Economic-Enterprise_446
src_Religious-Organisation_421,src_Minister_11
src_Military-Person_387,src_Scandal_264
src_FuzzyTemporalInterval_442,src_Board_172
src_Diplomat_18,src_Intellectual-Construct_483
src_Secular-Leader_166,src_Population-Movement_160
src_Ethnic-Group_296,src_Religious-Order_215
src_Abbey_9,src_Settlement_277
src_Political-Organisation_360,src_Public-Oration_10
src_Social-Stratum_480,src_Economic-Enterprise_303
src_Diplomat_374,src_Period_216
src_Flavour_80,src_Individual_122
src_Trade-Association_84,src_Intra-State-Group_70
src_Political-Symbol_10,src_Water_415
src_Economist_366,src_Village_318
src_Management-Organisation_381,src_Time_467
src_Time-Dependent-Relation_475,src_Technical-Scientific-Advance_473
src_International-Alliance_173,src_Religious-Organisation_486
src_Flavour_486,src_Geographer_44
src_Discoverer_300,src_Abbey_392
src_Creator_225,src_Newspaper_182
src_Time-Dependent-Relation_493,src_Period_391
src_Educational-Organisation_325,src_Crime_131
src_Language_423,src_Philosopher_54
src_Individual_17,src_Crime_406
src_Writing_340,src_Author_408
src_Economic-Symbol_343,src_Book_32
src_Landmark_80,src_Religious-Organisation_246
src_Organisation_415,src_Masonic-Lodge_453
src_Scientist_9,src_Inventor_312
src_Work-of-Art_80,src_Creator_286
src_Religious-Movement_318,src_Period_248
src_Musician_375,src_Board_361
src_Economic-Process_102,src_Psychologist_409
src_Educational-Organisation_232,src_Actor_130
src_Pamphlet_219,src_Religious-Order_317
src_Economic-Symbol_286,src_International-Organisation_6
src_Magnate_57,src_Publisher_94
src_Building_29,src_Object_306
src_Author_246,src_Astronaut_344
src_Fictional-Event_85,src_Landmark_395
src_Armament_493,src_Intellectual-Construct_381
src_Political-Region_318,src_Architect_125
src_Person-Role_37,src_Illness_247
src_VicodiOI_323,src_Flavour_199
src_Film-Maker_65,src_Functionary_425
src_Saint_401,src_Piece-of-Music_72
src_Painting_44,src_Water_350
src_Cultural-Agreement_339,src_Uprising_288
src_International-Organisation_419,src_King_28
src_Secular-Movement_396,src_Diplomat_427
src_Economic-Process_259,src_Painter_422
src_Business-Leader_274,src_Ship_308
src_Movement_197,src_Author_13
src_Pollution_211,src_Astronaut_199
src_Economic-Enterprise_442,src_Publisher_50
src_Vehicle_304,src_Military-Unit_95
src_Ecclesiarch_335,src_Uprising_206
src_Period_320,src_Period_476
src_Leader_111,src_Theologian_412
src_Political-Organisation_495,src_Painter_22
src_Military-Unit_158,src_Religious-Organisation_290
src_Governmental-Organisation_396,src_International-Alliance_84
src_Flavour_106,src_Entertainer_72
src_Illness_197,src_Liturgical-Object_305
src_Location_193,src_Life-Event_391
src_Church_80,src_Prince_349
src_Trial_171,src_Building_306
src_Period_101,src_Sultan_249
src_Role_294,src_Architect_468
src_Sculpture_460,src_Management-Organisation_398
src_Dynasty_358,src_Fictional-Person_208
src_Liturgical-Object_109,src_Piece-of-Music_381
src_Board_117,src_Social-Stratum_95
src_Cathedral_4,src_Commodity_394
src_Intra-State-Group_254,src_Intellectual-Construct_165
src_Minister_33,src_Cleric_168
src_Painting_331,src_Ship_459
src_Geographical-Feature_166,src_International-Alliance_10
src_Secular-Movement_96,src_Time-Dependent-Relation_426
src_Theologian_90,src_Location_244
src_Individual_339,src_Idea_430
src_Scandal_261,src_Religious-Symbol_390
src_Business-Leader_480,src_Work-of-Art_152
src_Economic-Symbol_354,src_Religious-Organisation_483
src_Pope_492,src_Functionary_408
src_Abstract-Notion_79,src_Intra-State-Group_355
src_Badge_447,src_Political-Symbol_170
src_Animal_89,src_VicodiOI_306
src_Ship_164,src_Film-Maker_472
src_Cultural-Organisation_383,src_International-Alliance_89
src_Time-Dependent_13,src_Religious-Symbol_294
src_Prince_354,src_Artistic-Movement_255
src_Sculptor_141,src_Movement_65
src_Location-Part-Relation_55,src_Economic-Process_474
src_Functionary_59,src_Religious-Ideology_36
src_Conceptual-Object_201,src_Philanthropist_329
src_Scientist_6,src_Philosopher_402
src_Secular-Movement_98,src_Functionary_57
src_TemporalInterval_325,src_Cleric_13
src_Stereotype-Group_322,src_Food_300
src_League_334,src_Life-Event_187
src_Philosopher_490,src_Religious-Leader_406
src_Saint_397,src_Military-Unit_368
src_Economic-Enterprise_316,src_VicodiOI_108
src_City_147,src_Movement_74
src_Economic-Organisation_273,src_Geographical-Region_315
src_Politician_453,src_Geographical-Region_239
src_Church-Reformer_249,src_Pope_77
src_War_219,src_Discoverer_386
src_Relic_295,src_Other-Religious-Person_48
src_Trial_199,src_Disease_450
src_Artefact_19,src_Water_405
src_Physician_298,src_Population-Movement_237
src_Location_465,src_Painting_445
src_Flavour_107,src_Commodity_398
src_Symbol_485,src_Intellectual-Construct_371
src_Location_313,src_Clerical-Leader_39
src_Time-Dependent_354,src_Sculpture_276
src_Painter_471,src_Sportsman_287
src_Politician_217,src_Public-Oration_160
src_Religious-Organisation_71,src_Legislation_255
src_Fictional-Event_449,src_Period-in-Office_263
src_Field-of-Knowledge_393,src_Public-Oration_385
src_Religious-Community_419,src_Political-Symbol_361
src_Field-of-Knowledge_363,src_Functionary_148
src_Queen_97,src_Governmental-Organisation_473
src_Relic_112,src_Structure_69
src_Life-Event_396,src_Social-Group_278
src_Engineer_130,src_Secular-Leader_309
src_Artistic-Movement_134,src_Scientist_264
src_Artistic-Style_414,src_Educational-Organisation_35
src_Measurable-Trend_178,src_Stereotype-Group_380
src_Masonic-Lodge_236,src_Economic-Symbol_174
src_Armament_250,src_Party_419
src_Abbey_78,src_Emperor_141
src_Creator_493,src_Trade-Association_7
src_Leader_188,src_Author_213
src_FuzzyTemporalInterval_364,src_Musician_117
src_Environment_302,src_Trades-Unionist_374
src_Religious-Leader_451,src_Newspaper_391
src_Prince_214,src_Dancer_114
src_Time-Dependent-Relation_361,src_Social-Stratum_251
src_Leader_261,src_League_187
src_Religious-Leader_131,src_Fictional-Person_366
src_Intra-State-Group_167,src_Village_161
src_Symbol_271,src_Physician_490
src_Writing_285,src_Armament_33
src_Work-of-Art_262,src_Work-of-Art_247
src_Political-Region_340,src_FuzzyTemporalInterval_486
src_Field-of-Knowledge_151,src_Theologian_317
src_Journalist_469,src_Pastime_28
src_Stereotype-Group_256,src_Vehicle_167
src_Natural-Object_193,src_Dynasty_23
src_Astronaut_34,src_Military-Organisation_37
src_Work-of-Art_211,src_Treaty_488
src_Painter_382,src_Location_243
src_Pamphlet_179,src_Battle_244
src_Clothing_92,src_Abstract-Notion_104
src_Badge_91,src_Sculptor_342
src_VicodiOI_265,src_Meeting_267
src_Social-Group_77,src_Ship_244
src_Badge_6,src_Artist_341
src_Musician_169,src_Religious-Movement_7
src_Landmark_201,src_Professor_24
src_City_185,src_Leader_418
src_Magnate_448,src_Business-Leader_325
src_Secular-Ideology_393,src_Artist_278
src_Movement_269,src_War_22
src_Treaty_467,src_Crime_481
src_Organisation_114,src_National-Symbol_184
src_Psychologist_230,src_Sculptor_169
src_Professor_204,src_Sultan_194
src_Clothing_132,src_Cultural-Agreement_134
src_Battle_98,src_Film-Maker_219
src_Other-Religious-Person_233,src_Country_473
src_Trade-Association_225,src_Actor_31
src_Ritual_123,src_Dynasty_32
src_Time-Dependent-Relation_499,src_Natural-Object_134
