src_Scientist_373,src_Disease_115
src_National-Symbol_16,src_FuzzyTemporalInterval_443
src_Management-Organisation_497,src_Language_55
src_Prince_101,src_Leader_198
src_Discoverer_316,src_Abbey_161
src_Inventor_483,src_Artist_225
src_Sultan_64,src_Political-Region_470
src_Commodity_47,src_Religious-Movement_308
src_Religious-Order_281,src_Individual_385
src_TemporalInterval_459,src_Astronaut_147
src_Period-in-Office_76,src_Religious-Symbol_225
src_Entertainer_236,src_Time-Dependent-Relation_277
src_Pope_322,src_Representative-Institution_84
src_National-Symbol_386,src_Disaster_486
src_Object_0,src_Badge_494
src_Foreign-Minister_72,src_Idea_401
src_Scandal_227,src_Publisher_451
src_Time_26,src_War_418
src_VicodiOI_3,src_Religious-Movement_324
src_Intellectual-Movement_397,src_VicodiOI_393
src_Cathedral_213,src_Geographical-Discovery_241
src_Pope_263,src_Geographical-Feature_212
src_Leader_350,src_Business-Leader_263
src_Other-Religious-Leader_77,src_Leader_377
src_Pope_179,src_Structure_132
src_Engineer_194,src_Architect_105
src_Head-of-Government_84,src_Measurable-Trend_478
src_Natural-Object_431,src_Time-Dependent_205
src_Religious-Community_96,src_Engineer_283
src_Disease_251,src_Settlement_304
src_Film-Maker_313,src_Crime_55
src_International-Alliance_382,src_Political-Symbol_458
src_Population-Movement_469,src_Period-in-Office_199
src_Economic-Enterprise_355,src_Location_483
src_Other-Religious-Leader_169,src_Badge_272
src_Artistic-Movement_39,src_National-Symbol_334
src_Ideology_467,src_Period_42
src_Physician_157,src_Location-Part-Relation_357
src_Location_341,src_Geographical-Region_373
src_Conceptual-Object_70,src_Armament_327
src_Village_342,src_Landmark_154
src_Military-Organisation_456,src_University_484
src_Book_349,src_Time-Dependent-Relation_26
src_Other-Religious-Leader_161,src_Life-Event_319
src_Dramaturge_58,src_Cathedral_237
src_Board_435,src_Badge_476
src_Individual_50,src_Head-of-Government_380
src_Building_46,src_Artistic-Style_474
src_Flavour_308,src_Technical-Scientific-Advance_376
src_Treaty_458,src_Church_198
src_Structure_101,src_Time-Dependent-Relation_352
src_Astronaut_296,src_Emperor_125
src_Artist_237,src_Psychologist_494
src_Trial_102,src_Ideology_361
src_Idea_352,src_Entertainer_262
src_Professor_26,src_Physician_179
src_Location-Part-Relation_225,src_Structure_441
src_Actor_245,src_Ritual_238
src_Art-Form_95,src_Location-Part-Relation_54
src_Abstract-Notion_245,src_Economic-Organisation_99
src_Painter_396,src_King_60
src_Time_21,src_Publisher_31
src_Abbey_392,src_Newspaper_134
src_Queen_9,src_Person-Role_155
src_Diplomat_344,src_Event_369
src_Piece-of-Music_148,src_Meeting_395
src_Artistic-Style_41,src_Actor_285
src_Art-Form_92,src_Cleric_238
src_Economic-Symbol_203,src_Location-Part-Relation_131
src_Foreign-Minister_466,src_TemporalInterval_86
src_Film-Maker_200,src_Governmental-Organisation_179
src_Clerical-Leader_372,src_Abbey_254
src_Religious-Order_437,src_Economist_276
src_Sportsman_336,src_VicodiOI_255
src_Art-Form_397,src_Economic-Enterprise_43
src_Abstract-Notion_240,src_Social-Stratum_369
src_Relic_363,src_Ritual_47
src_Crime_146,src_Composer_364
src_Object_30,src_Sultan_395
src_Armament_15,src_Religious-Order_435
src_Monastery_80,src_Religious-Ideology_14
src_Intellectual-Construct_461,src_Artistic-Movement_494
src_Minister_29,src_Economic-Process_193
src_Cleric_342,src_Military-Unit_453
src_University_35,src_Writing_184
src_Geographical-Discovery_372,src_Non-Military-Conflict_254
src_Inventor_33,src_Abbey_205
src_Period_257,src_Trades-Union_79
src_Object_382,src_Religious-Ideology_474
src_Role_226,src_Art-Form_297
src_Discoverer_120,src_Language_452
src_Commodity_110,src_Art-Form_193
src_Ideology_59,src_Language_254
src_Actor_341,src_Non-Military-Conflict_146
src_Religious-Community_413,src_Organisation_425
src_Leader_291,src_Economic-Process_277
src_Ecclesiarch_201,src_Flavour_454
src_Period_252,src_Dynasty_343
src_International-Alliance_230,src_Trades-Union_78
src_Prince_483,src_Artefact_246
src_Artistic-Movement_99,src_Time_321
src_Church-Reformer_85,src_Economic-Process_8
src_Party_150,src_Symbol_267
src_Settlement_400,src_Economic-Enterprise_377
src_Military-Unit_371,src_Cathedral_406
src_Object_119,src_Settlement_485
src_Composer_172,src_Church-Reformer_204
src_Church-Reformer_478,src_Religious-Community_183
src_Armament_275,src_Work-of-Art_317
src_Secular-Movement_460,src_Art-Form_147
src_Structure_177,src_Philosopher_227
src_Secular-Leader_421,src_Artefact_417
src_Diplomat_463,src_Head-of-Government_192
src_Intellectual-Movement_58,src_Painter_267
src_Economic-Process_264,src_Discoverer_127
src_Military-Unit_242,src_Event_165
src_Election_440,src_Cultural-Organisation_422
src_Economist_249,src_Cultural-Organisation_284
src_Conductor_32,src_King_69
src_Professor_118,src_Clerical-Leader_98
src_Population-Movement_93,src_Settlement_85
src_Pastime_362,src_Ritual_208
src_Minister_116,src_Abstract-Notion_49
src_Queen_384,src_Technical-Scientific-Advance_312
src_Time-Dependent_364,src_Field-of-Knowledge_0
src_Scandal_396,src_Painter_166
src_Political-Symbol_65,src_Badge_137
src_Individual_207,src_Relic_107
src_Cultural-Organisation_89,src_Military-Unit_61
src_Geographical-Feature_459,src_Art-Form_172
src_Architect_99,src_Armament_420
src_Person_324,src_Trade-Association_191
src_Criminal_481,src_Party_139
src_Building_207,src_Criminal_314
src_Religious-Order_371,src_Liturgical-Object_375
src_Artistic-Movement_443,src_Professor_169
src_Illness_491,src_Pamphlet_372
src_Secular-Ideology_388,src_Military-Person_36
src_Journal_309,src_Life-Event_478
src_Political-Symbol_102,src_Religious-Order_395
src_Clerical-Leader_54,src_War_155
src_Ship_80,src_Management-Organisation_419
src_War_482,src_Pollution_63
src_VicodiOI_63,src_Movement_271
src_Artist_247,src_Cultural-Agreement_458
src_Composer_58,src_Conceptual-Object_72
src_Governmental-Organisation_466,src_Field-of-Knowledge_101
src_Event_413,src_Treaty_287
src_Language_271,src_Train_53
src_Category_364,src_Masonic-Lodge_206
src_Intra-State-Group_274,src_Liturgical-Object_465
src_Philanthropist_174,src_Queen_75
src_Head-of-State_318,src_Publisher_447
src_Composer_436,src_Political-Symbol_203
src_Intellectual-Construct_130,src_Intra-State-Group_151
src_Cleric_66,src_Role_487
src_Politician_140,src_Queen_39
src_Trades-Union_130,src_Cultural-Organisation_355
src_Astronaut_292,src_Political-Organisation_397
src_Artist_58,src_Settlement_333
src_Political-Organisation_363,src_Social-Group_52
src_International-Organisation_283,src_Scientific-Instrument_478
src_Leader_337,src_Economic-Process_370
src_Psychologist_440,src_Measurable-Trend_84
src_Social-Group_453,src_Secular-Movement_350
src_Pamphlet_327,src_Physician_328
src_Relic_30,src_Foreign-Minister_151
src_Theologian_324,src_Conceptual-Object_210
src_Category_338,src_Time-Dependent_71
src_Geographical-Discovery_319,src_Secular-Leader_488
src_Event_240,src_Field-of-Knowledge_141
src_Landmark_480,src_Piece-of-Music_82
src_Fictional-Person_387,src_Train_390
src_Intra-State-Group_263,src_Ideology_472
src_Actor_46,src_Architect_487
src_Artefact_79,src_Location-Part-Relation_197
src_Location_267,src_Journalist_477
src_Military-Person_432,src_Ideology_133
src_Economic-Symbol_146,src_Intra-State-Group_275
src_Relic_302,src_Foreign-Minister_260
src_Liturgical-Object_96,src_Movement_12
src_Social-Stratum_297,src_Object_417
src_Monastery_375,src_Non-Military-Conflict_446
src_Building_437,src_Saint_191
src_Geographer_442,src_Physician_51
src_Technical-Scientific-Advance_265,src_Treaty_335
src_Architect_451,src_Pastime_86
src_Country_314,src_Organisation_87
src_Leader_430,src_Saint_426
src_Psychologist_126,src_Trades-Union_147
src_Landmark_405,src_Badge_466
src_Ideology_195,src_International-Alliance_492
src_Election_39,src_Social-Group_467
src_Author_347,src_Political-Region_291
src_Village_195,src_Politician_29
src_Saint_359,src_Idea_394
src_Philanthropist_488,src_Uprising_257
src_Vehicle_478,src_Prince_79
src_Economist_488,src_Cultural-Agreement_364
src_Economic-Enterprise_320,src_Time-Dependent_203
src_Religious-Symbol_495,src_Crime_66
src_Dynasty_413,src_Crime_452
src_Organisation_46,src_Field-of-Knowledge_116
src_Military-Organisation_373,src_Legislation_494
src_Religious-Community_206,src_Dramaturge_354
src_Writing_288,src_Period_389
src_Trades-Unionist_244,src_Astronaut_44
src_Treaty_17,src_Building_281
src_Geographical-Discovery_133,src_Person_333
src_Fictional-Person_48,src_Ideology_120
src_Jurist_260,src_Sculpture_475
src_Masonic-Lodge_474,src_Time_319
src_Theologian_289,src_Philanthropist_167
src_Fictional-Person_401,src_Physician_432
src_Person_141,src_Food_307
src_Vehicle_338,src_Artist_257
src_Author_273,src_Trades-Unionist_110
src_Religious-Leader_132,src_Composer_159
src_Military-Person_126,src_Religious-Community_65
src_Intellectual-Movement_240,src_Category_388
src_Idea_143,src_Party_430
src_War_488,src_Publisher_133
src_National-Symbol_492,src_Governmental-Organisation_427
src_Composer_310,src_Time-Dependent_279
src_Person-Role_499,src_Structure_363
src_Head-of-Government_216,src_Engineer_302
src_City_271,src_Symbol_284
src_Author_340,src_Economic-Symbol_413
src_Musician_446,src_Psychologist_249
src_Geographical-Discovery_107,src_Language_223
src_Treaty_408,src_Management-Organisation_445
src_Philosopher_58,src_Legislation_421
src_Period_19,src_Monastery_42
src_University_486,src_Religious-Symbol_460
src_Sculptor_362,src_Social-Stratum_483
src_Minister_257,src_Ecclesiarch_435
src_Religious-Order_244,src_Physician_2
src_Water_8,src_Geographical-Region_267
src_Military-Organisation_25,src_Event_78
src_Object_438,src_Life-Event_448
src_Organisation_17,src_Fictional-Person_333
src_Painter_459,src_Religious-Practice_122
src_Election_81,src_Architect_342
src_Political-Symbol_44,src_City_17
src_Inventor_79,src_Individual_383
src_Landmark_291,src_Writing_256
src_Time-Dependent_391,src_Train_132
src_Publisher_426,src_Meeting_219
src_Intellectual-Movement_266,src_Functionary_206
src_Disaster_226,src_Disease_12
src_Religious-Ideology_463,src_Geographical-Discovery_377
src_Politician_141,src_Journal_108
src_International-Organisation_14,src_Sculpture_38
src_Train_481,src_Philosopher_67
src_Object_270,src_Dynasty_401
src_Scientific-Instrument_409,src_Physician_31
src_Diplomat_208,src_Economic-Process_171
src_Monastery_473,src_Time_185
src_Intra-State-Group_481,src_Trial_468
src_Treaty_163,src_Secular-Ideology_200
src_Time_222,src_Commodity_214
src_Intra-State-Group_366,src_Animal_227
src_Disease_110,src_Military-Unit_147
src_Leader_287,src_FuzzyTemporalInterval_367
src_Party_121,src_Individual_459
src_Ideology_141,src_Author_333
src_Politician_197,src_Prince_431
src_Disaster_203,src_Geographical-Region_76
src_Actor_329,src_Leader_50
src_Engineer_114,src_Object_137
