src_TemporalInterval_103,src_Election_387
src_Geographical-Feature_10,src_Category_476
src_Publisher_302,src_Event_236
src_Population-Movement_326,src_Journal_443
src_Pope_392,src_Cleric_32
src_Natural-Object_460,src_Economist_452
src_Relic_332,src_Pollution_452
src_Election_306,src_Period-in-Office_382
src_Conceptual-Object_316,src_Astronaut_288
src_Trade-Association_91,src_Other-Religious-Person_389
src_Artist_68,src_International-Alliance_326
src_Art-Form_468,src_Ship_321
src_Commodity_226,src_Philosopher_60
src_Queen_471,src_Trade-Association_36
src_Ethnic-Group_445,src_Conductor_226
src_Monastery_93,src_Political-Symbol_404
src_Geographical-Feature_59,src_VicodiOI_29
src_Religious-Leader_401,src_Abstract-Notion_18
src_Geographer_445,src_Religious-Community_136
src_Role_163,src_Masonic-Lodge_487
src_Scientist_476,src_Military-Organisation_26
src_Role_444,src_Religious-Ideology_298
src_Economic-Organisation_239,src_Architect_189
src_Political-Region_139,src_Magnate_79
src_Water_289,src_Crime_40
src_Economic-Process_343,src_Religious-Organisation_326
src_Clerical-Leader_157,src_Painting_154
src_Magnate_53,src_Economist_69
src_Church-Reformer_278,src_Armament_381
src_Person-Role_256,src_Journal_113
src_Person_195,src_League_147
src_Prince_44,src_Geographical-Discovery_262
src_Astronaut_213,src_Artistic-Style_19
src_Saint_9,src_Head-of-Government_5
src_Religious-Ideology_393,src_City_260
src_Publisher_148,src_Relic_136
src_War_84,src_Ship_488
src_Sportsman_18,src_Movement_118
src_Badge_299,src_Painter_295
src_Composer_94,src_Intra-State-Group_50
src_Military-Organisation_431,src_Secular-Ideology_433
src_Religious-Practice_65,src_Election_68
src_Cathedral_164,src_Landmark_166
src_Astronaut_144,src_War_300
src_Entertainer_143,src_Musician_385
src_Astronaut_375,src_Object_184
src_Religious-Community_437,src_Military-Person_260
src_Geographer_55,src_International-Alliance_426
src_Technical-Scientific-Advance_371,src_Management-Organisation_469
src_Economic-Organisation_289,src_Time-Dependent_495
src_Event_169,src_Village_68
src_Role_267,src_Discoverer_0
src_Painter_374,src_TemporalInterval_95
src_Artefact_147,src_Pastime_216
src_Structure_44,src_Time_8
src_Scientist_291,src_Trades-Union_344
src_Magnate_49,src_Jurist_437
src_Economic-Enterprise_473,src_Publisher_153
src_Animal_322,src_Monastery_335
src_Movement_411,src_National-Symbol_497
src_Trades-Unionist_220,src_Individual_345
src_Artistic-Movement_38,src_Meeting_354
src_Period-in-Office_244,src_Prince_173
src_Movement_276,src_Battle_304
src_Ritual_462,src_Organisation_252
src_Book_443,src_Location-Part-Relation_167
src_Ship_162,src_Composer_405
src_Secular-Movement_24,src_TemporalInterval_82
