?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Abbey>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Abbey>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Abbey>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Abbey>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Abbey>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Animal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Animal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Animal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Animal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Animal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Armament>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Armament>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Armament>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Armament>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Armament>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Artefact>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
