src_War_37,src_Individual_16
src_Category_4,src_Time-Dependent-Relation_37
src_Monastery_11,src_Period-in-Office_7
src_Trade-Association_6,src_Conceptual-Object_24
src_Geographical-Region_7,src_Political-Symbol_28
src_Abbey_24,src_City_16
src_Social-Stratum_31,src_Actor_15
src_Train_23,src_Food_19
src_Structure_2,src_War_24
src_Theologian_9,src_Location-Part-Relation_19
src_Fictional-Person_5,src_Art-Form_14
src_Inventor_12,src_Flavour_2
src_Head-of-Government_22,src_Dramaturge_22
src_Discoverer_1,src_Fictional-Event_9
src_Prince_6,src_Religious-Ideology_0
src_University_8,src_Treaty_27
src_Language_25,src_Church_0
src_Magnate_18,src_Badge_8
src_Saint_8,src_Measurable-Trend_19
src_Natural-Object_6,src_Pope_2
src_Fictional-Person_9,src_Period-in-Office_4
src_Monastery_8,src_King_20
src_Social-Stratum_3,src_Pamphlet_6
src_Functionary_12,src_Church-Reformer_18
src_Scandal_20,src_Leader_6
src_Publisher_21,src_Building_7
src_Time_32,src_Flavour_23
