src_Category_6,src_Physician_4
src_Creator_7,src_Population-Movement_11
src_Building_14,src_Church-Reformer_9
src_League_15,src_Food_35
src_Political-Organisation_3,src_Cleric_19
src_Conceptual-Object_22,src_Individual_10
src_Trades-Union_2,src_Political-Organisation_28
src_Location_5,src_Cathedral_17
src_Entertainer_3,src_Country_0
src_Religious-Community_4,src_Economic-Process_12
src_Uprising_8,src_Social-Group_8
src_Religious-Practice_14,src_Leader_4
src_Population-Movement_22,src_Newspaper_24
src_Other-Religious-Leader_24,src_Intellectual-Movement_2
src_Newspaper_0,src_League_3
src_Location_14,src_VicodiOI_10
src_Idea_25,src_Head-of-Government_16
src_Engineer_9,src_Country_45
src_Secular-Ideology_25,src_Masonic-Lodge_12
src_Masonic-Lodge_5,src_Prince_15
src_Location_7,src_Geographical-Feature_22
src_Vehicle_27,src_Psychologist_16
src_Relic_12,src_Conceptual-Object_11
src_Church_0,src_Prince_1
src_Sculptor_19,src_Economic-Process_12
src_Event_4,src_Painter_36
src_Object_25,src_Fictional-Event_0
src_Settlement_12,src_Fictional-Person_25
src_Public-Oration_24,src_Professor_8
src_TemporalInterval_30,src_Water_6
src_Head-of-Government_24,src_Pamphlet_11
src_Fictional-Person_29,src_Settlement_8
src_Treaty_4,src_Vehicle_14
src_Emperor_22,src_Physician_27
src_Illness_6,src_Journalist_23
src_Artistic-Movement_8,src_Journal_11
src_Object_14,src_Natural-Object_12
src_Settlement_22,src_Economist_12
