src_Ideology_13,src_Secular-Leader_4
src_Painter_1,src_Psychologist_21
src_Stereotype-Group_12,src_Pamphlet_0
src_Object_27,src_Category_19
src_Scandal_6,src_Artist_28
src_Journal_10,src_Disaster_31
src_Head-of-Government_5,src_Cathedral_17
src_Relic_22,src_Trial_7
src_Uprising_7,src_Military-Organisation_41
src_Commodity_28,src_Scientist_40
src_Dynasty_14,src_Illness_18
src_Diplomat_25,src_Public-Oration_11
src_Business-Leader_12,src_Flavour_34
src_Disaster_6,src_Trades-Unionist_8
src_Life-Event_3,src_Inventor_14
src_Ideology_33,src_City_23
src_Political-Region_37,src_FuzzyTemporalInterval_8
src_International-Alliance_12,src_Language_19
src_Discoverer_2,src_Period-in-Office_13
src_Measurable-Trend_8,src_Artist_18
src_Scandal_31,src_Treaty_12
src_League_0,src_Armament_30
src_Trial_26,src_Landmark_7
src_Event_6,src_Location-Part-Relation_6
src_Entertainer_15,src_Sculptor_26
src_Religious-Symbol_27,src_League_25
src_Location-Part-Relation_0,src_Relic_17
src_Vehicle_7,src_Psychologist_18
src_Category_19,src_Head-of-Government_4
src_Field-of-Knowledge_27,src_Newspaper_25
src_Artistic-Movement_31,src_Journalist_35
src_Piece-of-Music_8,src_Politician_20
src_Work-of-Art_15,src_Religious-Community_18
src_Period-in-Office_7,src_VicodiOI_7
src_Military-Unit_3,src_City_11
src_Astronaut_1,src_Disaster_26
src_Water_18,src_Clerical-Leader_17
src_Dynasty_37,src_Election_6
src_Political-Symbol_0,src_War_47
src_Social-Group_11,src_Political-Organisation_8
src_Physician_6,src_Military-Unit_27
src_Criminal_11,src_University_17
src_Period-in-Office_13,src_Film-Maker_20
src_Religious-Order_23,src_Person-Role_9
src_Secular-Leader_4,src_Public-Oration_7
src_Idea_10,src_Country_10
src_Educational-Organisation_8,src_Political-Symbol_15
src_Public-Oration_16,src_Field-of-Knowledge_22
