src_Period-in-Office_19,src_Cultural-Agreement_29
src_Food_36,src_Politician_24
src_Train_4,src_Category_34
src_Architect_7,src_Other-Religious-Leader_27
src_Natural-Object_1,src_Conductor_3
src_Trade-Association_27,src_Pamphlet_22
src_Head-of-Government_17,src_TemporalInterval_3
src_Jurist_14,src_Settlement_42
src_Badge_17,src_Landmark_10
src_Engineer_12,src_Religious-Practice_8
src_Symbol_6,src_Composer_21
src_Foreign-Minister_15,src_Representative-Institution_8
src_TemporalInterval_24,src_Geographical-Feature_21
src_International-Alliance_1,src_Economic-Process_5
src_Psychologist_25,src_Vehicle_39
src_Conceptual-Object_5,src_Crime_26
src_Person_1,src_Symbol_28
src_Social-Group_10,src_Cathedral_17
src_Object_26,src_Religious-Ideology_22
src_Organisation_7,src_Governmental-Organisation_26
src_Illness_0,src_Non-Military-Conflict_15
src_War_30,src_Writing_35
src_Religious-Symbol_21,src_Management-Organisation_14
src_Astronaut_5,src_Saint_20
src_Leader_22,src_Economic-Enterprise_23
src_Treaty_12,src_Flavour_21
src_Location_29,src_Time_26
src_Criminal_46,src_Field-of-Knowledge_8
src_Criminal_41,src_Management-Organisation_20
src_Uprising_13,src_Prince_0
