src_Religious-Community_3,src_Economic-Organisation_44
src_Prince_23,src_Relic_11
src_Religious-Order_44,src_Party_0
src_Work-of-Art_16,src_Time_0
src_Leader_33,src_International-Organisation_28
src_Creator_8,src_Intellectual-Movement_26
src_Train_2,src_Sportsman_15
src_Creator_7,src_Painting_18
src_Discoverer_12,src_Train_14
src_FuzzyTemporalInterval_8,src_Battle_15
src_Idea_22,src_Military-Unit_24
src_Person_16,src_Engineer_12
src_Conceptual-Object_19,src_Queen_17
src_Economic-Organisation_4,src_Category_2
src_Monastery_7,src_Dancer_13
src_Geographical-Region_24,src_Military-Person_30
src_Ecclesiarch_16,src_Flavour_28
src_Journal_11,src_Economic-Enterprise_16
src_Religious-Ideology_20,src_Measurable-Trend_26
src_Pastime_28,src_Fictional-Event_15
src_Relic_7,src_Criminal_24
src_Church-Reformer_10,src_City_25
src_Fictional-Event_29,src_Theologian_33
src_Philosopher_7,src_Trade-Association_18
src_Cathedral_14,src_Time_29
src_Economic-Organisation_31,src_Psychologist_22
src_Clerical-Leader_13,src_Composer_25
src_Discoverer_19,src_League_7
src_Social-Group_16,src_Journal_24
src_Economic-Enterprise_1,src_Fictional-Event_10
