src_Architect_3,src_Event_37
src_Leader_11,src_Individual_1
src_Dynasty_37,src_Person-Role_4
src_Cultural-Organisation_38,src_Religious-Order_26
src_Intellectual-Construct_22,src_Cathedral_18
src_Person_9,src_Language_21
src_Abbey_17,src_Writing_0
src_League_1,src_Religious-Ideology_3
src_Intellectual-Construct_11,src_Environment_0
src_Newspaper_27,src_Religious-Leader_18
src_Religious-Practice_20,src_Religious-Symbol_38
src_Animal_44,src_Astronaut_6
src_Musician_3,src_Astronaut_1
src_Crime_32,src_Artist_35
src_Newspaper_1,src_Intellectual-Construct_14
src_Cultural-Organisation_33,src_Fictional-Person_25
src_Legislation_12,src_International-Alliance_4
src_Monastery_2,src_Magnate_17
src_Disaster_0,src_Secular-Leader_13
src_Artistic-Style_28,src_Work-of-Art_27
src_Person-Role_12,src_Social-Group_16
src_Disaster_22,src_Political-Organisation_1
src_Social-Stratum_14,src_Stereotype-Group_20
src_Writing_0,src_Idea_31
src_Work-of-Art_12,src_Fictional-Person_8
src_Stereotype-Group_1,src_Dynasty_2
src_Economic-Process_20,src_Pastime_21
src_Pamphlet_26,src_Foreign-Minister_14
src_Environment_25,src_Geographer_4
src_Saint_24,src_Country_3
src_Political-Symbol_13,src_Pollution_2
src_Economic-Enterprise_12,src_Environment_15
src_Representative-Institution_8,src_Queen_11
src_Artefact_8,src_Artistic-Style_18
src_Art-Form_16,src_Dynasty_24
src_Symbol_21,src_Ship_20
src_Animal_5,src_Cultural-Organisation_42
src_Treaty_3,src_Uprising_22
src_Musician_0,src_Jurist_8
src_Time_23,src_Economic-Organisation_34
src_Economic-Process_31,src_Trade-Association_18
src_Structure_20,src_Pastime_31
src_Economic-Symbol_23,src_Period-in-Office_13
src_Economic-Enterprise_29,src_Animal_33
src_Disaster_27,src_Other-Religious-Leader_0
src_Treaty_11,src_Jurist_27
src_Fictional-Person_7,src_Clerical-Leader_26
src_International-Alliance_25,src_Inventor_14
