src_Military-Unit_4,src_Politician_5
src_Queen_26,src_Scientific-Instrument_5
src_Journalist_35,src_Book_14
src_Abbey_23,src_Scientific-Instrument_23
src_Functionary_8,src_Economist_44
src_Ritual_6,src_Illness_0
src_Event_32,src_Object_0
src_Jurist_27,src_Religious-Practice_1
src_Vehicle_26,src_Geographical-Feature_20
src_Organisation_24,src_Time-Dependent_17
src_Head-of-State_32,src_Artist_40
src_Professor_19,src_Newspaper_19
src_Management-Organisation_23,src_Scientific-Instrument_28
src_International-Organisation_14,src_Public-Oration_21
src_Conductor_25,src_Functionary_8
src_Religious-Organisation_25,src_Theologian_12
src_Conductor_9,src_League_20
src_War_48,src_Other-Religious-Person_32
src_Minister_18,src_League_8
src_Uprising_34,src_Ritual_33
src_Environment_15,src_Badge_12
src_Landmark_1,src_Geographical-Discovery_19
src_Person_41,src_Head-of-State_6
src_Fictional-Person_25,src_Astronaut_25
src_Educational-Organisation_14,src_Scientific-Instrument_0
src_Geographer_26,src_Clerical-Leader_15
src_Art-Form_28,src_Educational-Organisation_26
src_Journalist_22,src_Election_2
src_Secular-Movement_9,src_Scientific-Instrument_41
src_Organisation_18,src_Masonic-Lodge_38
src_Musician_6,src_Religious-Movement_1
src_Religious-Movement_0,src_Landmark_27
src_Astronaut_0,src_Location-Part-Relation_12
src_Flavour_4,src_Economic-Symbol_27
src_Technical-Scientific-Advance_0,src_Illness_22
src_City_28,src_Geographer_17
src_Role_0,src_Religious-Practice_4
src_Diplomat_29,src_Meeting_17
