src_Professor_26,src_Geographer_22
src_Representative-Institution_28,src_Author_7
src_Social-Group_29,src_Sportsman_8
src_Foreign-Minister_25,src_Language_5
src_Painting_13,src_Country_30
src_Intellectual-Construct_20,src_Armament_24
src_Period-in-Office_9,src_Sultan_6
src_Engineer_22,src_Cleric_21
src_Economist_32,src_Liturgical-Object_25
src_Actor_11,src_Painter_44
src_Philanthropist_19,src_Board_8
src_Object_19,src_Armament_36
src_Foreign-Minister_22,src_Idea_14
src_Painter_21,src_Military-Unit_30
src_Architect_18,src_Commodity_1
src_Sultan_25,src_Badge_16
src_Newspaper_28,src_Military-Person_4
src_Abstract-Notion_36,src_Population-Movement_25
src_Psychologist_30,src_Political-Symbol_11
src_Landmark_36,src_Field-of-Knowledge_5
src_Church_28,src_Architect_1
src_Geographical-Region_11,src_Religious-Order_5
src_Magnate_19,src_League_11
src_Location_22,src_Ecclesiarch_21
src_Religious-Organisation_1,src_Symbol_11
src_Crime_34,src_Time-Dependent_1
src_Cathedral_22,src_Sculpture_17
src_VicodiOI_14,src_Conceptual-Object_2
