src_Ritual_37,src_Scandal_34
src_Religious-Ideology_23,src_Journal_6
src_Intra-State-Group_23,src_Dramaturge_25
src_Train_14,src_King_5
src_Newspaper_28,src_VicodiOI_23
src_Engineer_24,src_Philosopher_0
src_Conductor_17,src_Diplomat_20
src_Economic-Symbol_23,src_Representative-Institution_21
src_Time-Dependent-Relation_32,src_Philanthropist_3
src_Artistic-Style_32,src_Functionary_14
src_Ritual_14,src_Food_15
src_Creator_13,src_Economic-Symbol_15
src_Military-Organisation_22,src_Sultan_1
src_Queen_40,src_Emperor_27
src_Journal_25,src_Saint_27
src_Fictional-Event_16,src_Technical-Scientific-Advance_29
src_Secular-Ideology_3,src_Relic_43
src_Social-Stratum_22,src_Dynasty_42
src_Art-Form_27,src_Cultural-Organisation_27
src_Sportsman_7,src_Saint_10
src_Religious-Community_4,src_Population-Movement_1
src_Trades-Union_3,src_Artist_17
src_Trades-Unionist_38,src_Category_6
src_Artist_30,src_Sportsman_6
src_Politician_29,src_City_3
src_Water_32,src_War_37
src_Water_22,src_Trades-Union_8
src_Measurable-Trend_3,src_Board_1
src_Geographical-Feature_21,src_Engineer_12
src_Vehicle_33,src_Ritual_4
src_Fictional-Event_5,src_Period_3
src_Ship_3,src_Dynasty_35
src_Monastery_8,src_Treaty_28
src_Intra-State-Group_35,src_War_13
src_Conceptual-Object_19,src_Emperor_4
src_Cathedral_1,src_TemporalInterval_2
src_Economic-Process_9,src_Intellectual-Construct_8
src_Religious-Practice_4,src_Location-Part-Relation_25
src_Conductor_8,src_Physician_14
src_Ethnic-Group_36,src_Publisher_23
src_Politician_27,src_Theologian_27
src_Entertainer_34,src_Philosopher_24
src_Newspaper_24,src_Cultural-Agreement_32
src_National-Symbol_10,src_Relic_30
src_Magnate_27,src_Stereotype-Group_34
