src_Geographer_26,src_Dynasty_16
src_Location_12,src_Church_30
src_Economic-Symbol_8,src_Scientist_4
src_Period_10,src_Language_14
src_Social-Stratum_18,src_Functionary_10
src_Building_37,src_Disease_28
src_Illness_6,src_Sultan_2
src_FuzzyTemporalInterval_14,src_Jurist_13
src_Abstract-Notion_9,src_Ship_27
src_Period-in-Office_1,src_Sultan_5
src_Discoverer_28,src_Artefact_3
src_Psychologist_22,src_Religious-Practice_3
src_Location-Part-Relation_7,src_Water_1
src_Disease_17,src_Geographical-Discovery_21
src_Monastery_24,src_Painting_24
src_Psychologist_31,src_Ritual_28
src_Artistic-Style_9,src_Trades-Unionist_23
src_Train_23,src_Saint_18
src_Conductor_45,src_Social-Group_20
src_Economic-Process_16,src_Measurable-Trend_16
src_Head-of-State_18,src_Artefact_20
src_Ethnic-Group_28,src_Category_32
src_Public-Oration_22,src_Newspaper_11
src_Criminal_40,src_National-Symbol_21
src_Ritual_33,src_Flavour_9
src_Artistic-Movement_12,src_Intra-State-Group_20
src_Animal_31,src_Architect_21
src_Religious-Community_38,src_Economic-Process_26
src_Clerical-Leader_15,src_Artistic-Style_2
src_League_27,src_Pamphlet_8
src_Scientific-Instrument_13,src_Pope_40
