c0(z) :- Abbey(X), Building(X) .
c1(z) :- Abstract00009911Notion(X), Flavour(X) .
c2(z) :- Actor(X), Entertainer(X) .
c3(z) :- Animal(X), Natural00009911Object(X) .
c4(z) :- Architect(X), Creator(X) .
c5(z) :- Armament(X), Artefact(X) .
c6(z) :- Art00009911Form(X), Abstract00009911Notion(X) .
c7(z) :- Artefact(X), Object(X) .
c8(z) :- Artist(X), Creator(X) .
c9(z) :- Artistic00009911Movement(X), Movement(X) .
c10(z) :- Artistic00009911Style(X), Abstract00009911Notion(X) .
c11(z) :- Astronaut(X), Discoverer(X) .
c12(z) :- Author(X), Creator(X) .
c13(z) :- Badge(X), Conceptual00009911Object(X) .
c14(z) :- Battle(X), Event(X) .
c15(z) :- Board(X), Management00009911Organisation(X) .
c16(z) :- Book(X), Writing(X) .
c17(z) :- Building(X), Artefact(X) .
c18(z) :- Business00009911Leader(X), Magnate(X) .
c19(z) :- Category(X), VicodiOI(X) .
c20(z) :- Cathedral(X), Building(X) .
c21(z) :- Church(X), Building(X) .
c22(z) :- Church00009911Reformer(X), Religious00009911Leader(X) .
c23(z) :- City(X), Settlement(X) .
c24(z) :- Cleric(X), Person00009911Role(X) .
c25(z) :- Clerical00009911Leader(X), Leader(X) .
c26(z) :- Clothing(X), Artefact(X) .
c27(z) :- Commodity(X), Natural00009911Object(X) .
c28(z) :- Composer(X), Artist(X) .
c29(z) :- Conceptual00009911Object(X), Object(X) .
c30(z) :- Conductor(X), Entertainer(X) .
c31(z) :- Country(X), Location(X) .
c32(z) :- Creator(X), Person00009911Role(X) .
c33(z) :- Crime(X), Event(X) .
c34(z) :- Criminal(X), Person00009911Role(X) .
c35(z) :- Cultural00009911Agreement(X), Event(X) .
c36(z) :- Cultural00009911Organisation(X), Organisation(X) .
c37(z) :- Dancer(X), Entertainer(X) .
c38(z) :- Diplomat(X), Functionary(X) .
c39(z) :- Disaster(X), Event(X) .
c40(z) :- Discoverer(X), Person00009911Role(X) .
