_:ex8424_38_54_14,X3,_:ex8427_54_14_38,X10
X2,_:ex4817_31_65_18,X9,_:ex4818_31_65_18
_:ex4258_10_40_50,_:ex4261_10_40_50,_:ex4262_10_40_50,_:ex4263_10_40_50
_:ex2710_8_31_10_12,_:ex2711_8_31_10_12,X5,_:ex2712_8_31_10_12
X0,_:ex5346_40_14,_:ex5347_40_14,_:ex5348_40_14
_:ex3712_31,X2,_:ex3715_31,_:ex3716_31
_:ex1568_31_27,X4,_:ex1571_27_31,_:ex1572_27_31
_:ex5217_14_40_8_50,_:ex5219_14_40_8_50,_:ex5220_14_40_8_50,_:ex5221_14_40_8_50
X2,_:ex3578_31_65,X9,_:ex3579_31_65
_:ex7365_12_65_27_18,_:ex7368_12_65_27_18,_:ex7369_12_65_27_18,X8
X0,_:ex7197_40_50_10_54,_:ex7198_40_50_10_54,X6
X3,_:ex5696_54_18,_:ex5697_54_18,X12
_:ex1544_10_62,_:ex1547_10_62,X7,_:ex1548_10_62
