X1,_:ex4787_38_12,_:ex4788_38_12,X8
_:ex6334_8_14,_:ex6336_14_8,_:ex6337_8_14,_:ex6338_8_14
X0,X1,X5,X6
_:ex8831_38_65_14,_:ex8834_65_14_38,X9,X10
_:ex8470_31,X2,_:ex8473_31,_:ex8474_31
_:ex2434_38_65_62,_:ex2437_65_62_38,X9,_:ex2438_65_38_62
_:ex3676_14_62,_:ex3679_14_62,_:ex3680_14_62,X10
X0,X1,_:ex2628_40_38,_:ex2629_40_38
_:ex3435_62_38_10_12,_:ex3438_62_38_10_12,X11,_:ex3439_62_38_10_12
X0,_:ex4993_40_18,_:ex4994_40_18,_:ex4995_40_18
X3,X4,_:ex7410_54_27,_:ex7411_54_27
X2,_:ex4218_31,_:ex4219_31,_:ex4220_31
X2,_:ex7607_31,_:ex7608_31,_:ex7609_31
_:ex1408_62_18,_:ex1411_62_18,X11,X12
