_:ex7838_50_10_54_65,_:ex7839_50_10_54_65,_:ex7840_50_10_54_65,X6
X1,X2,X7,X8
_:ex8773_65_27_38,X4,_:ex8775_27_65_38,_:ex8776_27_65_38
_:ex8572_10_12_8_50,_:ex8573_10_12_8_50,_:ex8574_10_12_8_50,_:ex8575_10_12_8_50
X3,_:ex923_54,_:ex924_54,_:ex925_54
X1,_:ex8062_38_14,_:ex8063_38_14,_:ex8064_38_14
X1,X2,_:ex2247_38_31,_:ex2248_38_31
_:ex7336_38_14_18,_:ex7339_14_18_38,_:ex7340_14_38_18,X10
_:ex5887_8_65_14_18,_:ex5889_65_14_8_18,_:ex5890_8_65_14_18,_:ex5891_8_65_14_18
_:ex3767_12_54_8,X3,_:ex3769_54_12_8,_:ex3770_54_12_8
_:ex2519_14_18,_:ex2522_14_18,_:ex2523_14_18,X10
_:ex2191_27_10_50,X4,_:ex2194_27_10_50,_:ex2195_27_10_50
_:ex4877_65_14_18_12,_:ex4878_18_65_14_12,_:ex4879_18_65_14_12,X12
